hand_min_x,hand_min_y,hand_width,hand_height,object_min_x,object_min_y,object_width,object_height,handedness,picture_name,grasp
509,637,234,281,0,0,0,0,left,frame_3704.jpg,power
888,609,243,197,63,54,126,108,left,frame_10074.jpg,power
861,611,229,177,71,57,142,113,left,frame_10104.jpg,power
819,762,144,209,0,0,0,0,left,frame_4098.jpg,power
899,787,200,293,171,148,343,295,left,frame_9810.jpg,power
817,666,228,251,1146,703,233,532,left,frame_9965.jpg,power
812,690,200,272,1108,710,286,482,left,frame_10026.jpg,power
723,778,114,191,1880,920,77,88,left,frame_9084.jpg,power
840,658,204,218,362,347,167,374,left,frame_10238.jpg,power
827,734,139,185,0,0,0,0,left,frame_3236.jpg,power
893,805,207,275,173,152,346,298,left,frame_9807.jpg,power
813,680,228,261,1146,727,237,488,left,frame_10004.jpg,power
523,641,237,259,0,0,0,0,left,frame_3699.jpg,power
851,623,248,191,464,75,189,151,left,frame_10125.jpg,power
695,836,173,226,412,664,171,229,left,frame_4127.jpg,power
925,803,198,277,230,182,341,265,left,frame_9795.jpg,power
800,752,140,219,0,0,0,0,left,frame_4099.jpg,power
673,825,119,202,0,0,0,0,left,frame_9079.jpg,power
669,651,329,315,734,455,178,279,left,frame_455.jpg,power
923,695,197,191,936,584,205,172,left,frame_516.jpg,power
778,660,197,218,910,735,143,263,left,frame_705.jpg,power
855,623,131,151,1794,915,205,190,left,frame_9155.jpg,power
544,643,234,258,0,0,0,0,left,frame_3693.jpg,power
829,646,185,221,1102,670,324,406,left,frame_10205.jpg,power
827,646,193,219,1100,670,317,413,left,frame_10214.jpg,power
1196,344,302,191,1327,153,208,294,left,frame_4878.jpg,power
847,636,215,253,56,54,111,108,left,frame_10052.jpg,power
649,706,159,247,0,0,0,0,left,frame_4106.jpg,power
749,801,130,204,0,0,0,0,left,frame_7807.jpg,power
833,639,188,221,1102,673,335,412,left,frame_10197.jpg,power
1146,339,301,201,1200,131,184,259,left,frame_4869.jpg,power
911,592,161,187,1252,638,188,134,left,frame_3250.jpg,power
861,608,254,179,71,57,142,112,left,frame_10100.jpg,power
784,636,271,269,731,448,179,282,left,frame_465.jpg,power
631,641,229,228,649,642,156,173,left,frame_3677.jpg,power
905,669,211,205,1123,676,269,388,left,frame_10277.jpg,power
931,765,185,232,1126,799,187,434,left,frame_10332.jpg,power
943,811,226,243,154,138,308,274,left,frame_9824.jpg,power
908,792,280,234,141,133,283,265,left,frame_9831.jpg,power
418,438,177,221,0,0,0,0,left,frame_6993.jpg,power
721,752,133,191,1847,773,144,270,left,frame_9086.jpg,power
901,661,214,217,1123,676,269,394,left,frame_10276.jpg,power
854,622,249,189,1068,493,179,278,left,frame_10124.jpg,power
606,459,285,277,871,1014,75,81,left,frame_6808.jpg,power
1090,377,231,168,1127,148,178,288,left,frame_4899.jpg,power
849,606,264,184,1144,646,461,461,left,frame_10087.jpg,power
906,804,202,272,187,168,358,286,left,frame_9801.jpg,power
835,640,198,216,409,308,169,350,left,frame_10252.jpg,power
1201,348,306,189,1315,154,208,299,left,frame_4882.jpg,power
813,680,206,277,1114,700,296,475,left,frame_10030.jpg,power
532,644,238,254,0,0,0,0,left,frame_3696.jpg,power
937,722,201,245,584,319,201,306,left,frame_10298.jpg,power
831,656,207,264,111,87,221,173,left,frame_10038.jpg,power
1002,794,173,224,1174,826,171,449,left,frame_10347.jpg,power
690,774,115,225,0,0,0,0,left,frame_9081.jpg,power
1124,347,264,183,1138,141,178,275,left,frame_4891.jpg,power
951,565,166,188,1512,644,219,181,left,frame_3256.jpg,power
640,431,253,268,872,1025,77,82,left,frame_6816.jpg,power
862,632,128,154,1798,910,204,190,left,frame_9139.jpg,power
833,646,191,221,1099,671,311,411,left,frame_10221.jpg,power
871,615,257,187,439,64,197,129,left,frame_10077.jpg,power
840,649,197,217,1103,675,304,408,left,frame_10227.jpg,power
1188,348,313,188,1312,154,206,298,left,frame_4883.jpg,power
840,649,196,219,511,259,245,251,left,frame_10229.jpg,power
826,650,219,209,230,85,352,170,left,frame_10174.jpg,power
769,818,114,222,0,0,0,0,left,frame_7791.jpg,power
522,611,494,411,0,0,0,0,left,frame_4845.jpg,power
1163,673,355,363,0,0,0,0,left,frame_6528.jpg,power
840,647,213,252,432,64,197,127,left,frame_10048.jpg,power
908,793,214,287,167,144,333,286,left,frame_9814.jpg,power
567,642,231,256,0,0,0,0,left,frame_3689.jpg,power
490,425,157,201,0,0,0,0,left,frame_6989.jpg,power
778,660,195,217,907,735,144,263,left,frame_704.jpg,power
1095,404,196,160,1104,155,179,299,left,frame_4933.jpg,power
981,791,183,218,1167,823,178,446,left,frame_10345.jpg,power
913,716,209,193,930,610,195,167,left,frame_506.jpg,power
452,426,157,212,0,0,0,0,left,frame_6991.jpg,power
810,649,214,212,180,87,360,174,left,frame_10157.jpg,power
831,642,215,221,253,85,343,168,left,frame_10183.jpg,power
858,626,130,156,1654,743,273,172,left,frame_9148.jpg,power
359,499,182,218,0,0,0,0,left,frame_6998.jpg,power
666,443,245,252,873,1036,76,84,left,frame_6826.jpg,power
941,122,241,192,1137,276,168,228,left,frame_6694.jpg,power
843,618,130,158,1758,906,265,196,left,frame_9165.jpg,power
814,651,221,244,1137,678,254,522,left,frame_9959.jpg,power
580,647,221,239,0,0,0,0,left,frame_3686.jpg,power
831,643,194,224,1099,671,312,411,left,frame_10220.jpg,power
856,609,249,168,72,57,145,114,left,frame_10110.jpg,power
832,646,187,217,1100,671,318,413,left,frame_10213.jpg,power
810,646,216,215,182,87,363,172,left,frame_10158.jpg,power
1033,812,172,244,1184,817,114,427,left,frame_10352.jpg,power
595,644,226,238,604,642,157,175,left,frame_3683.jpg,power
812,691,232,257,1150,726,235,541,left,frame_10006.jpg,power
516,636,228,277,0,0,0,0,left,frame_3703.jpg,power
470,424,161,209,0,0,0,0,left,frame_6990.jpg,power
671,448,237,252,872,1037,74,82,left,frame_6828.jpg,power
831,641,213,223,51,118,101,171,left,frame_10185.jpg,power
943,723,186,246,1122,751,170,461,left,frame_10306.jpg,power
806,716,232,263,1157,830,212,403,left,frame_10012.jpg,power
965,785,191,220,1158,816,184,443,left,frame_10342.jpg,power
1069,736,349,344,1776,943,287,248,left,frame_6537.jpg,power
848,644,205,214,442,272,172,338,left,frame_10261.jpg,power
1055,363,312,198,0,0,0,0,left,frame_4861.jpg,power
780,660,195,212,911,735,145,261,left,frame_706.jpg,power
1137,414,183,171,1126,153,181,298,left,frame_4939.jpg,power
1106,409,193,161,1108,155,179,299,left,frame_4928.jpg,power
807,679,223,263,1128,717,238,510,left,frame_9978.jpg,power
834,642,196,205,413,294,169,349,left,frame_10255.jpg,power
1183,342,302,194,1342,151,216,290,left,frame_4874.jpg,power
827,643,191,226,1105,673,323,412,left,frame_10201.jpg,power
618,707,155,231,643,666,168,211,left,frame_4108.jpg,power
848,611,263,183,74,59,147,115,left,frame_10113.jpg,power
808,634,219,252,965,708,149,190,left,frame_714.jpg,power
907,579,219,233,1171,629,355,470,left,frame_10063.jpg,power
894,807,209,273,174,153,349,294,left,frame_9806.jpg,power
482,709,173,246,0,0,0,0,left,frame_4114.jpg,power
915,756,194,232,1116,788,197,435,left,frame_10327.jpg,power
853,612,261,169,73,58,146,114,left,frame_10111.jpg,power
833,641,202,213,410,302,169,347,left,frame_10253.jpg,power
814,660,222,244,1127,691,242,511,left,frame_9971.jpg,power
821,647,219,204,211,84,359,168,left,frame_10166.jpg,power
833,642,188,220,1099,672,309,411,left,frame_10222.jpg,power
949,723,180,249,596,323,200,300,left,frame_10303.jpg,power
850,620,260,192,75,58,151,116,left,frame_10115.jpg,power
911,703,225,203,1131,712,242,392,left,frame_10286.jpg,power
858,645,206,215,455,265,176,334,left,frame_10263.jpg,power
553,642,226,254,587,648,151,168,left,frame_3691.jpg,power
949,680,195,187,966,563,207,168,left,frame_522.jpg,power
810,653,212,202,177,87,352,173,left,frame_10155.jpg,power
861,607,249,181,71,57,142,112,left,frame_10101.jpg,power
321,526,188,220,0,0,0,0,left,frame_7000.jpg,power
1092,377,235,166,1128,147,181,287,left,frame_4898.jpg,power
831,648,239,253,959,623,142,96,left,frame_471.jpg,power
836,659,207,216,350,352,169,382,left,frame_10235.jpg,power
795,714,233,266,1132,749,240,523,left,frame_10015.jpg,power
703,780,117,192,0,0,0,0,left,frame_9083.jpg,power
888,647,209,217,502,251,183,323,left,frame_10271.jpg,power
938,729,198,240,604,329,201,296,left,frame_10309.jpg,power
965,779,126,231,0,0,0,0,left,frame_4088.jpg,power
902,676,222,214,536,267,190,316,left,frame_10279.jpg,power
851,614,258,182,74,59,147,115,left,frame_10112.jpg,power
840,653,202,217,1105,677,306,403,left,frame_10230.jpg,power
913,751,195,234,1116,781,200,438,left,frame_10325.jpg,power
941,724,188,246,600,327,202,301,left,frame_10307.jpg,power
991,103,312,267,0,0,0,0,left,frame_6688.jpg,power
853,625,250,201,467,77,188,154,left,frame_10128.jpg,power
651,441,254,260,872,1032,77,82,left,frame_6823.jpg,power
929,801,194,279,213,177,344,271,left,frame_9797.jpg,power
1121,339,309,198,1208,130,183,256,left,frame_4867.jpg,power
903,677,215,213,538,272,190,318,left,frame_10280.jpg,power
829,646,218,211,251,86,347,169,left,frame_10182.jpg,power
1028,900,183,173,744,598,60,149,left,frame_10476.jpg,power
785,669,179,212,900,739,148,261,left,frame_700.jpg,power
917,692,208,188,957,584,242,179,left,frame_517.jpg,power
839,642,202,212,423,284,172,343,left,frame_10258.jpg,power
1087,402,212,157,1117,153,176,294,left,frame_4912.jpg,power
823,663,219,233,1139,701,236,520,left,frame_9967.jpg,power
927,714,207,206,549,295,196,315,left,frame_10289.jpg,power
858,622,129,150,1793,914,206,190,left,frame_9156.jpg,power
808,680,216,255,1125,710,238,510,left,frame_9982.jpg,power
876,652,237,265,1067,755,169,206,left,frame_719.jpg,power
839,657,205,219,366,347,168,377,left,frame_10239.jpg,power
907,695,218,201,1128,706,247,392,left,frame_10284.jpg,power
1072,386,234,163,1122,151,178,292,left,frame_4906.jpg,power
570,643,228,249,0,0,0,0,left,frame_3688.jpg,power
829,636,218,229,51,121,103,174,left,frame_10186.jpg,power
1059,828,203,230,753,493,60,152,left,frame_10374.jpg,power
539,711,173,237,607,655,168,197,left,frame_4111.jpg,power
645,439,257,262,871,1027,73,78,left,frame_6820.jpg,power
561,508,339,315,868,1008,70,79,left,frame_6804.jpg,power
805,707,216,262,111,87,223,171,left,frame_10019.jpg,power
1190,344,304,191,1332,152,211,293,left,frame_4876.jpg,power
814,754,146,178,0,0,0,0,left,frame_3235.jpg,power
724,763,125,194,1888,935,62,90,left,frame_9085.jpg,power
1012,684,166,151,1396,829,223,216,left,frame_3271.jpg,power
833,644,198,219,61,120,120,171,left,frame_10193.jpg,power
809,643,218,214,1085,673,370,414,left,frame_10150.jpg,power
886,591,212,242,1193,631,282,471,left,frame_10060.jpg,power
196,679,237,222,0,0,0,0,left,frame_7007.jpg,power
1149,340,287,187,1303,155,205,299,left,frame_4888.jpg,power
914,818,219,261,164,142,328,283,left,frame_9816.jpg,power
864,645,150,190,1464,754,146,143,left,frame_3243.jpg,power
827,648,218,217,241,85,349,170,left,frame_10179.jpg,power
1099,357,271,178,1134,142,175,279,left,frame_4893.jpg,power
866,616,259,185,1155,656,452,453,left,frame_10078.jpg,power
945,725,184,247,594,322,199,302,left,frame_10302.jpg,power
509,639,246,274,0,0,0,0,left,frame_3702.jpg,power
1098,405,198,171,1104,155,183,299,left,frame_4932.jpg,power
883,655,124,146,1791,908,254,189,left,frame_9120.jpg,power
749,478,237,241,903,1036,72,83,left,frame_6844.jpg,power
856,616,242,188,63,56,127,113,left,frame_10091.jpg,power
746,741,119,196,1644,726,356,312,left,frame_9087.jpg,power
1189,347,315,192,1325,153,207,297,left,frame_4879.jpg,power
1127,414,190,170,1120,154,179,299,left,frame_4938.jpg,power
1073,390,227,162,1121,152,180,293,left,frame_4908.jpg,power
939,858,153,169,1176,962,249,237,left,frame_4136.jpg,power
829,643,217,219,247,85,347,170,left,frame_10181.jpg,power
809,672,224,258,37,57,74,114,left,frame_9987.jpg,power
832,641,212,220,57,118,115,171,left,frame_10190.jpg,power
894,608,162,185,1494,691,136,108,left,frame_3248.jpg,power
894,660,245,268,1092,767,175,210,left,frame_720.jpg,power
812,676,205,279,1048,690,158,457,left,frame_10031.jpg,power
821,646,214,255,1130,671,280,485,left,frame_9953.jpg,power
380,487,167,207,0,0,0,0,left,frame_6997.jpg,power
857,610,241,176,71,57,142,112,left,frame_10103.jpg,power
854,620,130,148,1793,913,206,191,left,frame_9157.jpg,power
433,431,162,218,0,0,0,0,left,frame_6992.jpg,power
846,661,258,156,1145,719,369,474,left,frame_9932.jpg,power
835,642,198,212,1113,662,352,380,left,frame_10257.jpg,power
946,724,182,248,599,327,201,300,left,frame_10305.jpg,power
781,664,190,216,906,735,144,264,left,frame_703.jpg,power
703,642,218,225,0,0,0,0,left,frame_3669.jpg,power
830,649,208,268,421,63,203,125,left,frame_10040.jpg,power
830,640,215,224,54,119,107,171,left,frame_10187.jpg,power
843,647,201,212,406,319,170,354,left,frame_10249.jpg,power
680,449,241,247,874,1038,72,80,left,frame_6832.jpg,power
839,645,226,236,1151,680,275,516,left,frame_9946.jpg,power
850,623,253,198,83,68,165,135,left,frame_10123.jpg,power
834,650,240,206,1030,698,199,437,left,frame_9938.jpg,power
286,560,204,204,0,0,0,0,left,frame_7002.jpg,power
859,614,263,187,61,56,122,111,left,frame_10079.jpg,power
837,661,204,215,346,352,173,384,left,frame_10234.jpg,power
920,588,234,223,68,52,136,103,left,frame_10068.jpg,power
768,699,130,187,1857,788,124,207,left,frame_9092.jpg,power
853,613,248,176,72,57,144,113,left,frame_10108.jpg,power
946,723,180,253,1122,748,171,457,left,frame_10300.jpg,power
801,676,225,266,1126,711,239,512,left,frame_9983.jpg,power
929,717,210,211,554,299,197,314,left,frame_10290.jpg,power
843,648,198,211,403,322,170,355,left,frame_10248.jpg,power
895,380,387,272,0,0,0,0,left,frame_4852.jpg,power
561,642,225,255,587,642,153,175,left,frame_3690.jpg,power
806,679,217,258,1124,710,239,512,left,frame_9981.jpg,power
827,644,210,253,1133,677,277,476,left,frame_9952.jpg,power
813,671,223,258,44,61,88,122,left,frame_9993.jpg,power
1047,818,164,254,675,481,64,143,left,frame_10355.jpg,power
758,633,292,279,733,453,177,279,left,frame_462.jpg,power
738,729,148,233,0,0,0,0,left,frame_4102.jpg,power
674,446,247,251,875,1038,77,82,left,frame_6830.jpg,power
971,785,184,223,1162,817,182,443,left,frame_10343.jpg,power
800,823,128,184,0,0,0,0,left,frame_3231.jpg,power
506,429,152,197,0,0,0,0,left,frame_6988.jpg,power
246,601,214,213,0,0,0,0,left,frame_7004.jpg,power
842,657,204,215,520,256,236,236,left,frame_10233.jpg,power
844,605,275,184,60,55,121,110,left,frame_10086.jpg,power
794,650,211,233,942,735,147,257,left,frame_712.jpg,power
817,643,222,255,1130,682,275,495,left,frame_9956.jpg,power
837,648,191,219,500,257,246,248,left,frame_10225.jpg,power
961,567,177,179,1481,901,140,152,left,frame_3258.jpg,power
828,640,196,226,1098,670,316,413,left,frame_10217.jpg,power
645,656,351,330,733,457,178,278,left,frame_454.jpg,power
831,639,216,223,56,119,111,170,left,frame_10188.jpg,power
1105,408,199,158,1110,155,179,297,left,frame_4926.jpg,power
831,659,206,267,111,87,221,173,left,frame_10037.jpg,power
944,723,185,249,588,320,200,304,left,frame_10299.jpg,power
838,637,216,256,1001,724,156,195,left,frame_716.jpg,power
