l_hand_min_x,l_hand_min_y,l_hand_width,l_hand_height,r_hand_min_x,r_hand_min_y,r_hand_width,r_hand_height,object_min_x,object_min_y,object_width,object_height,picture_name,grasp
995,310,150,184,1250,487,141,237,837,491,317,263,salad16030.png,none
1248,645,152,93,1462,636,162,130,1055,533,368,280,salad15126.png,none
1920,1080,0,0,1144,521,93,64,791,311,105,285,salad03801.png,none
920,768,133,86,1920,1080,0,0,0,0,0,0,salad08745.png,none
1154,597,175,113,1920,1080,0,0,202,325,72,158,salad10126.png,none
1920,1080,0,0,411,484,94,52,656,384,57,144,salad11743.png,none
1170,590,117,168,461,444,100,44,707,355,66,140,salad11708.png,none
1221,622,234,108,1920,1080,0,0,0,0,0,0,salad08411.png,none
1215,728,186,115,1920,1080,0,0,477,286,55,155,salad11660.png,none
842,377,153,181,1920,0,0,0,682,534,323,255,salad03164.png,none
0,0,0,0,1330,437,150,119,1221,530,185,242,salad15662.png,none
1156,592,114,174,1920,1080,0,0,692,365,65,142,salad11714.png,none
0,0,0,0,1241,713,157,178,916,487,258,180,salad25484.png,none
0,0,0,0,853,462,136,96,1095,707,271,206,salad08576.png,none
1920,1080,0,0,1489,813,117,176,0,0,0,0,salad09739.png,none
1223,625,220,100,1920,1080,0,0,0,0,0,0,salad08436.png,none
1920,1080,0,0,1134,852,175,77,0,0,0,0,salad08620.png,none
1116,592,115,179,1920,1080,0,0,614,392,54,148,salad11783.png,none
1920,1080,0,0,433,475,97,53,667,378,60,144,salad11728.png,none
1444,702,125,103,0,0,0,0,1384,655,300,245,salad25514.png,none
1156,606,121,181,409,489,97,51,1835,547,168,322,salad11745.png,none
916,653,146,112,1920,1080,0,0,0,0,0,0,salad08734.png,none
1457,709,125,101,0,0,0,0,1383,656,301,246,salad25515.png,none
1030,618,75,75,0,0,0,0,1185,686,240,233,salad07856.png,none
0,0,0,0,1196,617,164,197,977,488,257,187,salad25470.png,none
845,0,188,184,0,0,0,0,1920,1080,0,0,salad08715.png,none
1152,525,120,101,1920,1080,0,0,881,269,118,283,salad04031.png,none
1025,600,111,91,0,0,0,0,1179,693,248,234,salad07851.png,none
1920,1080,0,0,1305,589,309,162,0,0,0,0,salad11598.png,none
1228,624,229,100,1920,1080,0,0,0,0,0,0,salad08388.png,none
1175,606,219,105,1920,1080,0,0,0,0,0,0,salad08351.png,none
0,0,0,0,470,289,138,98,1363,893,38,23,salad16440.png,none
1220,628,234,111,1920,1080,0,0,0,0,0,0,salad08425.png,none
0,1080,0,0,1257,591,131,202,1236,253,148,207,salad07888.png,none
1147,596,110,172,434,464,97,45,683,370,63,144,salad11718.png,none
912,694,145,99,1920,1080,0,0,0,0,0,0,salad08736.png,none
904,571,169,111,1340,639,133,139,1191,652,244,230,salad07869.png,none
1920,1080,0,0,1230,377,102,179,768,330,108,277,salad03714.png,none
1177,586,134,183,464,396,92,47,699,306,66,143,salad11687.png,none
1164,588,124,176,459,448,97,45,705,357,67,140,salad11709.png,none
1112,588,112,178,1920,1080,0,0,609,391,53,149,salad11786.png,none
1076,633,156,113,1500,580,195,231,1352,661,304,253,salad03524.png,none
948,632,95,87,1920,1080,0,0,668,332,113,295,salad04361.png,none
1205,677,191,148,1920,1080,0,0,202,290,82,176,salad11632.png,none
938,498,147,104,1486,670,148,152,1423,659,398,248,salad25519.png,none
1920,1080,0,0,1135,849,170,73,0,0,0,0,salad08616.png,none
1176,647,177,157,1920,1080,0,0,602,284,60,149,salad11673.png,none
1098,552,108,195,1920,1080,0,0,495,396,53,155,salad11803.png,none
1222,624,234,106,1920,1080,0,0,0,0,0,0,salad08413.png,none
888,599,132,65,0,1080,0,0,1920,0,0,0,salad08571.png,none
0,0,0,0,1239,711,157,175,1460,672,310,258,salad25483.png,none
1920,1080,0,0,428,469,103,47,682,371,63,143,salad11719.png,none
1124,592,70,97,1920,1080,0,0,27,104,55,137,salad04322.png,none
0,0,0,0,1290,715,146,171,1407,647,302,241,salad25497.png,none
0,1080,0,0,789,632,134,88,1181,288,134,214,salad07876.png,none
1241,638,150,96,0,0,0,0,1037,528,350,281,salad15129.png,none
1237,678,270,115,0,1080,0,0,1190,111,230,173,salad11604.png,none
0,0,0,0,1283,718,150,176,1413,649,303,247,salad25495.png,none
1920,1080,0,0,429,475,100,54,666,379,60,145,salad11729.png,none
1196,388,254,239,1920,0,0,0,0,1080,0,0,salad08469.png,none
856,0,138,133,0,0,0,0,1920,1080,0,0,salad08680.png,none
870,579,147,64,0,0,0,0,1090,705,273,203,salad08572.png,none
1117,590,110,174,372,505,95,58,605,391,54,149,salad11788.png,none
1920,1080,0,0,1401,712,154,96,0,0,0,0,salad09809.png,none
1197,622,224,115,1920,1080,0,0,0,0,0,0,salad08372.png,none
1220,627,234,103,1920,1080,0,0,0,0,0,0,salad08409.png,none
1181,623,224,103,1920,1080,0,0,0,0,0,0,salad08361.png,none
1920,1080,0,0,1117,859,148,44,0,0,0,0,salad08637.png,none
1028,303,152,191,1285,519,131,245,815,485,405,272,salad16032.png,none
1102,561,107,198,1920,1080,0,0,536,393,52,151,salad11800.png,none
768,0,125,117,0,0,0,0,1920,1080,0,0,salad08691.png,none
889,718,81,86,1069,376,137,129,183,293,87,161,salad00096.png,none
1135,595,110,178,1920,1080,0,0,627,393,54,147,salad11776.png,none
1229,645,156,98,0,0,0,0,1190,548,308,257,salad15109.png,none
0,0,0,0,1314,713,150,178,1392,639,296,226,salad25502.png,none
1232,627,229,99,1920,1080,0,0,0,0,0,0,salad08392.png,none
0,0,0,0,1396,706,142,171,1385,651,298,245,salad25510.png,none
972,0,178,145,1920,0,0,0,0,1080,0,0,salad08658.png,none
1242,639,151,98,1419,691,168,105,1035,531,375,282,salad15128.png,none
1195,593,219,98,1920,1080,0,0,0,0,0,0,salad08328.png,none
918,780,124,80,1920,1080,0,0,0,0,0,0,salad08744.png,none
1287,733,134,71,0,0,0,0,1188,698,235,229,salad07838.png,none
1175,643,168,161,382,392,98,56,610,284,60,148,salad11674.png,none
965,567,158,115,1337,657,131,127,1191,662,232,231,salad07866.png,none
1235,688,250,107,0,1080,0,0,1195,112,230,172,salad11605.png,none
0,0,0,0,1212,425,120,128,1096,490,236,188,salad25454.png,none
1920,1080,0,0,1262,634,281,145,0,0,0,0,salad11602.png,none
1214,626,224,101,1920,1080,0,0,0,0,0,0,salad08440.png,none
1920,1080,0,0,1038,269,151,150,236,289,80,160,salad00102.png,none
1818,865,102,90,1370,721,141,89,0,0,0,0,salad09807.png,none
1119,592,109,174,1920,1080,0,0,612,392,53,149,salad11784.png,none
907,467,127,126,1474,687,145,152,1382,657,307,246,salad25517.png,none
985,540,166,93,1496,638,155,137,1369,661,319,248,salad25523.png,none
0,0,0,0,1410,466,173,181,1361,668,284,251,salad03529.png,none
1920,1080,0,0,398,504,93,53,632,394,54,150,salad11768.png,none
1920,0,0,0,1427,736,79,103,120,646,239,360,salad16054.png,none
0,0,0,0,449,291,141,98,1771,735,295,205,salad16442.png,none
1107,869,186,65,1920,1080,0,0,0,0,0,0,salad08645.png,none
0,0,0,0,1195,415,266,209,1820,751,198,504,salad08467.png,none
1920,1080,0,0,1041,264,152,150,245,288,79,159,salad00103.png,none
1920,1080,0,0,1357,727,137,89,0,0,0,0,salad09806.png,none
0,0,0,0,1223,683,161,186,939,483,256,190,salad25478.png,none
0,0,0,0,1158,497,154,161,1045,541,329,276,salad16022.png,none
1293,777,116,67,1920,1080,0,0,0,0,0,0,salad09800.png,none
0,0,0,0,1217,410,114,115,1114,489,238,191,salad25452.png,none
823,0,187,169,0,0,0,0,1920,1080,0,0,salad08714.png,none
1207,623,225,115,1920,1080,0,0,0,0,0,0,salad08442.png,none
1920,1080,0,0,1212,812,165,103,0,0,0,0,salad08595.png,none
1197,703,192,133,1920,1080,0,0,325,290,71,171,salad11644.png,none
1097,21,265,318,0,0,0,0,1823,601,192,823,salad08304.png,none
1208,723,186,124,1920,1080,0,0,432,290,59,161,salad11656.png,none
1181,605,219,101,1920,1080,0,0,0,0,0,0,salad08339.png,none
1109,570,113,187,1920,1080,0,0,588,392,54,151,salad11794.png,none
1097,549,117,205,1920,1080,0,0,181,433,109,181,salad11819.png,none
1098,555,110,195,1920,1080,0,0,509,395,52,154,salad11802.png,none
0,0,0,0,1533,831,127,141,1872,875,95,188,salad09735.png,none
901,630,110,95,1920,1080,0,0,90,308,107,164,salad00081.png,none
1223,628,235,108,1920,1080,0,0,0,0,0,0,salad08423.png,none
1920,1080,0,0,1120,855,162,60,0,0,0,0,salad08634.png,none
1920,1080,0,0,1139,848,166,74,0,0,0,0,salad08615.png,none
0,0,0,0,1221,678,162,191,947,485,249,184,salad25477.png,none
0,1080,0,0,819,626,116,84,1177,290,134,216,salad07875.png,none
1179,605,213,106,1920,1080,0,0,0,0,0,0,salad08344.png,none
1013,658,161,103,1298,580,138,82,1340,670,398,271,salad25540.png,none
902,635,74,92,1124,518,106,101,150,297,93,161,salad00092.png,none
1155,383,185,214,1400,680,115,175,433,503,534,312,salad16042.png,none
1920,1080,0,0,1422,701,148,99,0,0,0,0,salad09810.png,none
1210,626,225,113,1920,1080,0,0,0,0,0,0,salad08441.png,none
1920,1080,0,0,1236,569,131,116,681,322,110,294,salad04371.png,none
1172,628,161,168,393,393,98,57,626,287,61,147,salad11676.png,none
1218,619,227,111,1920,1080,0,0,0,0,0,0,salad08382.png,none
947,510,161,102,1492,664,150,145,1371,659,299,246,salad25520.png,none
1183,595,124,163,1920,1080,0,0,727,331,70,139,salad11698.png,none
0,0,0,0,1186,583,160,196,993,488,254,187,salad25467.png,none
1187,582,124,176,476,403,100,40,719,317,69,142,salad11693.png,none
1356,746,79,103,0,0,0,0,1790,633,251,202,salad16375.png,none
1920,1080,0,0,1124,538,126,74,775,309,109,292,salad03808.png,none
1185,583,128,175,1920,1080,0,0,716,313,70,141,salad11692.png,none
0,0,0,0,1223,406,105,104,1128,491,241,189,salad25450.png,none
1920,1080,0,0,1471,821,95,65,0,0,0,0,salad16408.png,none
797,0,131,132,0,0,0,0,1920,1080,0,0,salad08687.png,none
858,380,151,181,1920,0,0,0,718,552,229,212,salad03158.png,none
0,0,0,0,1032,677,130,66,916,568,181,236,salad16079.png,none
939,0,182,151,1920,0,0,0,0,1080,0,0,salad08654.png,none
0,0,0,0,1189,594,159,191,990,484,251,194,salad25468.png,none
1920,1080,0,0,1343,732,137,88,0,0,0,0,salad09805.png,none
1170,621,155,172,409,393,95,52,639,290,62,145,salad11678.png,none
728,0,130,107,0,0,0,0,1920,1080,0,0,salad08700.png,none
0,0,0,0,1232,700,157,176,926,486,259,182,salad25481.png,none
1055,299,167,208,1311,556,118,231,752,476,422,288,salad16034.png,none
1210,618,225,114,1920,1080,0,0,0,0,0,0,salad08379.png,none
986,0,172,148,1920,0,0,0,0,1080,0,0,salad08661.png,none
0,0,0,0,1186,571,153,189,977,489,300,189,salad25466.png,none
0,1080,0,0,1350,466,149,105,915,245,127,272,salad15666.png,none
1176,607,220,109,1920,1080,0,0,0,0,0,0,salad08352.png,none
1151,355,177,190,404,306,154,117,1920,1080,0,0,salad08313.png,none
1172,599,137,179,441,394,94,49,677,300,65,141,salad11683.png,none
0,0,0,0,1073,610,124,114,1358,667,300,251,salad03527.png,none
1171,604,138,178,436,396,95,49,670,299,64,143,salad11682.png,none
1920,1080,0,0,1347,388,56,93,777,327,108,270,salad03687.png,none
1231,667,221,140,1920,1080,0,0,0,0,0,0,salad11610.png,none
1920,1080,0,0,1030,575,76,138,693,290,101,259,salad03533.png,none
1221,689,207,113,1920,1080,0,0,34,306,68,184,salad11615.png,none
1241,727,227,67,1920,1080,0,0,0,0,0,0,salad11607.png,none
1243,374,104,107,0,1080,0,0,1133,272,149,265,salad04010.png,none
1184,621,225,113,1920,1080,0,0,0,0,0,0,salad08363.png,none
1920,1080,0,0,1386,715,147,91,0,0,0,0,salad09808.png,none
979,531,160,91,1495,647,154,143,1372,661,314,248,salad25522.png,none
1092,536,110,204,1920,1080,0,0,413,401,60,162,salad11808.png,none
0,0,0,0,1511,650,195,197,1337,654,307,257,salad03520.png,none
1095,667,160,90,1920,1080,0,0,217,321,70,149,salad10123.png,none
1105,565,107,195,1920,1080,0,0,547,393,52,152,salad11799.png,none
0,0,0,0,1118,532,141,76,1562,736,198,209,salad03806.png,none
1299,710,97,69,0,0,0,0,1211,578,116,133,salad16061.png,none
0,0,0,0,1026,605,76,100,1182,692,243,231,salad07853.png,none
1224,624,233,108,1920,1080,0,0,0,0,0,0,salad08414.png,none
1920,1080,0,0,1023,631,90,89,701,292,101,259,salad03534.png,none
774,0,150,131,0,0,0,0,1920,1080,0,0,salad08711.png,none
1154,401,186,181,1920,0,0,0,0,1080,0,0,salad08315.png,none
1219,625,224,111,1920,1080,0,0,0,0,0,0,salad08434.png,none
1184,439,179,198,1459,703,111,172,1897,644,44,142,salad16046.png,none
1202,719,185,126,1920,1080,0,0,398,290,63,167,salad11653.png,none
916,764,128,84,1920,1080,0,0,0,0,0,0,salad08743.png,none
1920,1080,0,0,1122,860,170,59,0,0,0,0,salad08632.png,none
1030,607,145,93,1361,685,157,90,1180,698,248,231,salad07848.png,none
0,0,0,0,1499,602,210,245,1858,757,113,109,salad09941.png,none
0,1080,0,0,1286,589,136,190,1220,266,143,208,salad07885.png,none
898,620,108,95,1920,1080,0,0,93,307,107,164,salad00082.png,none
1920,1080,0,0,1184,810,166,110,0,0,0,0,salad08599.png,none
1242,629,147,93,1296,421,153,112,1136,540,328,267,salad15117.png,none
1920,1080,0,0,1461,830,91,60,0,0,0,0,salad16405.png,none
0,0,0,0,1390,450,167,159,1354,673,259,249,salad03530.png,none
1011,564,162,96,1474,608,160,116,1362,663,325,251,salad25526.png,none
1209,618,228,110,1920,1080,0,0,0,0,0,0,salad08380.png,none
1920,1080,0,0,428,468,101,45,680,372,63,143,salad11720.png,none
0,0,0,0,1512,599,194,228,1349,659,306,254,salad03523.png,none
1171,613,143,170,1920,1080,0,0,654,295,62,146,salad11680.png,none
1137,620,167,105,1920,1080,0,0,206,323,70,154,salad10125.png,none
1920,1080,0,0,1131,730,160,130,0,0,0,0,salad08568.png,none
1219,624,236,111,1920,1080,0,0,0,0,0,0,salad08407.png,none
890,613,94,103,1137,563,94,94,142,299,95,161,salad00091.png,none
1920,1080,0,0,1123,600,75,96,26,110,51,127,salad04323.png,none
1122,180,218,251,1920,0,0,0,0,1080,0,0,salad08308.png,none
866,0,138,133,0,0,0,0,1920,1080,0,0,salad08679.png,none
1191,584,221,104,1920,1080,0,0,0,0,0,0,salad08327.png,none
0,0,0,0,1011,678,140,64,885,573,169,245,salad16082.png,none
1228,681,218,121,1920,1080,0,0,0,0,0,0,salad11611.png,none
1920,1080,0,0,1225,809,166,104,0,0,0,0,salad08593.png,none
1201,611,211,107,1920,1080,0,0,0,0,0,0,salad08447.png,none
1107,567,108,193,1920,1080,0,0,565,392,53,150,salad11797.png,none
935,236,199,206,1920,0,0,0,0,1080,0,0,salad08723.png,none
1197,605,214,102,1920,1080,0,0,0,0,0,0,salad08448.png,none
1123,518,87,79,1920,1080,0,0,787,311,105,287,salad03803.png,none
1152,596,112,171,435,464,98,44,685,368,63,143,salad11717.png,none
1920,1080,0,0,1129,856,166,71,0,0,0,0,salad08627.png,none
1227,627,233,116,1920,1080,0,0,0,0,0,0,salad08421.png,none
1199,418,265,209,1920,0,0,0,0,1080,0,0,salad08468.png,none
1185,577,221,110,1920,1080,0,0,0,0,0,0,salad08326.png,none
1920,1080,0,0,405,502,89,51,638,394,56,150,salad11761.png,none
0,0,0,0,682,219,124,84,1920,1080,0,0,salad16410.png,none
1027,613,171,100,1393,573,158,93,1339,670,335,262,salad25532.png,none
1181,588,114,166,471,433,98,42,717,346,68,140,salad11704.png,none
1920,1080,0,0,1151,823,178,105,0,0,0,0,salad08606.png,none
1029,605,167,99,1404,573,169,101,1344,670,331,259,salad25531.png,none
823,333,121,111,1263,748,161,142,0,1080,0,0,salad08579.png,none
1920,1080,0,0,1123,860,173,62,0,0,0,0,salad08631.png,none
1920,1080,0,0,1147,832,173,98,0,0,0,0,salad08609.png,none
1113,573,110,185,1920,1080,0,0,592,391,53,150,salad11793.png,none
1234,649,143,80,1337,731,160,71,1016,523,352,282,salad15131.png,none
1920,1080,0,0,1499,817,126,170,0,0,0,0,salad09738.png,none
0,0,0,0,1323,712,145,174,1391,640,297,228,salad25503.png,none
1920,0,0,0,1468,726,113,129,193,596,384,352,salad16050.png,none
0,0,0,0,1369,708,149,177,1386,648,298,242,salad25508.png,none
1203,547,192,123,1920,1080,0,0,0,0,0,0,salad08454.png,none
1310,724,134,60,0,0,0,0,1187,701,241,235,salad07841.png,none
1213,674,198,138,1920,1080,0,0,52,302,96,183,salad11618.png,none
0,0,0,0,1008,679,140,64,879,573,167,247,salad16083.png,none
1002,579,140,111,0,0,0,0,1184,671,242,232,salad07863.png,none
1226,626,232,102,1920,1080,0,0,0,0,0,0,salad08399.png,none
0,1080,0,0,1341,452,147,109,914,247,127,272,salad15664.png,none
1107,338,180,191,1357,632,96,196,604,480,464,301,salad16038.png,none
0,1080,0,0,1248,638,281,143,1184,108,231,173,salad11603.png,none
1920,1080,0,0,1178,814,175,114,0,0,0,0,salad08600.png,none
1224,628,233,103,1920,1080,0,0,0,0,0,0,salad08424.png,none
1244,634,151,95,1359,441,164,137,1114,539,348,272,salad15119.png,none
1289,805,109,70,0,0,0,0,1722,548,250,195,salad16368.png,none
846,379,154,178,1920,0,0,0,684,543,323,257,salad03162.png,none
1198,698,192,135,1920,1080,0,0,316,289,71,171,salad11643.png,none
931,0,135,144,1920,0,0,0,0,1080,0,0,salad08674.png,none
1173,590,121,167,469,430,101,44,719,345,69,141,salad11703.png,none
795,359,106,75,1120,535,137,76,778,310,108,292,salad03807.png,none
1225,623,232,106,1920,1080,0,0,0,0,0,0,salad08415.png,none
1132,564,133,110,0,1080,0,0,1387,227,116,147,salad16056.png,none
1206,417,239,212,1920,0,0,0,0,1080,0,0,salad08465.png,none
1188,584,123,172,475,401,92,46,710,311,69,143,salad11690.png,none
0,1080,0,0,803,629,137,86,1172,292,133,216,salad07874.png,none
1230,640,154,96,0,0,0,0,1178,546,313,257,salad15111.png,none
1200,677,197,152,1920,1080,0,0,224,289,81,175,salad11634.png,none
1237,630,148,95,1242,418,150,100,1148,540,321,263,salad15115.png,none
0,0,0,0,1227,688,158,180,936,484,256,186,salad25479.png,none
0,0,0,0,824,200,98,85,1920,1080,0,0,salad08183.png,none
983,0,170,150,1920,0,0,0,0,1080,0,0,salad08660.png,none
1101,529,106,227,1920,1080,0,0,275,413,87,173,salad11815.png,none
1169,595,141,179,445,395,96,47,684,302,65,143,salad11684.png,none
1204,712,186,129,1920,1080,0,0,372,289,67,169,salad11650.png,none
1920,1080,0,0,1037,294,145,143,219,290,83,159,salad00100.png,none
0,1080,0,0,1324,574,322,161,1150,100,232,173,salad11596.png,none
1043,600,111,92,1348,692,179,76,1183,699,244,231,salad07845.png,none
1157,605,116,181,0,0,0,0,1836,551,167,319,salad11742.png,none
1184,610,221,103,1920,1080,0,0,0,0,0,0,salad08336.png,none
1177,605,232,117,1920,1080,0,0,0,0,0,0,salad08335.png,none
1183,607,230,106,1920,1080,0,0,0,0,0,0,salad08333.png,none
1121,350,158,75,0,0,0,0,1040,481,310,257,salad14049.png,none
1032,643,167,101,1330,576,144,77,1385,673,432,272,salad25537.png,none
990,0,151,137,1920,0,0,0,0,1080,0,0,salad08667.png,none
1205,679,190,138,1920,1080,0,0,128,295,91,180,salad11625.png,none
1219,627,234,112,1920,1080,0,0,0,0,0,0,salad08426.png,none
1046,301,154,192,1299,538,125,235,786,477,421,287,salad16033.png,none
1034,638,160,101,1341,573,147,80,1340,672,327,270,salad25536.png,none
895,0,136,134,1920,0,0,0,0,1080,0,0,salad08677.png,none
1219,626,228,110,1920,1080,0,0,0,0,0,0,salad08429.png,none
1160,606,119,180,407,491,97,52,1833,545,172,317,salad11747.png,none
0,0,0,0,1178,506,145,165,1035,487,249,196,salad25461.png,none
1920,1080,0,0,426,478,90,54,660,384,59,148,salad11737.png,none
1027,611,141,87,1353,689,136,78,1179,697,249,231,salad07849.png,none
0,0,0,0,1233,684,98,64,1153,565,111,153,salad16065.png,none
1228,691,208,115,1920,1080,0,0,0,0,0,0,salad11613.png,none
880,0,137,135,0,0,0,0,1920,1080,0,0,salad08678.png,none
0,0,0,0,1277,718,146,174,1418,651,301,248,salad25493.png,none
0,0,0,0,1381,706,149,178,1385,650,298,244,salad25509.png,none
0,0,0,0,1224,405,103,100,1071,492,373,189,salad25449.png,none
1920,1080,0,0,1160,817,170,106,0,0,0,0,salad08604.png,none
1025,597,168,98,1422,579,163,104,1346,669,332,258,salad25530.png,none
788,0,165,142,0,0,0,0,1920,1080,0,0,salad08712.png,none
1920,1080,0,0,1129,513,96,80,799,311,103,279,salad03794.png,none
1920,1080,0,0,1164,815,171,105,0,0,0,0,salad08603.png,none
1335,723,93,74,0,1080,0,0,1327,204,109,150,salad16059.png,none
1022,604,110,92,0,0,0,0,1181,692,246,232,salad07852.png,none
1228,699,207,101,1920,1080,0,0,28,302,56,170,salad11614.png,none
1205,679,186,140,1920,1080,0,0,149,293,88,179,salad11627.png,none
681,15,201,260,1269,795,163,111,0,1080,0,0,salad08587.png,none
1244,719,202,74,1920,1080,0,0,0,0,0,0,salad11608.png,none
1215,679,103,68,0,0,0,0,1138,560,113,157,salad16066.png,none
1920,1080,0,0,1154,822,179,109,0,0,0,0,salad08605.png,none
1184,583,131,172,479,401,91,44,713,312,70,142,salad11691.png,none
0,0,0,0,1300,714,150,175,1397,642,297,232,salad25500.png,none
905,38,195,246,1920,0,0,0,0,1080,0,0,salad08719.png,none
0,0,0,0,1206,433,125,134,1086,490,241,188,salad25455.png,none
1920,1080,0,0,408,494,93,56,648,389,57,149,salad11751.png,none
1105,62,258,299,0,0,0,0,1826,590,186,834,salad08305.png,none
0,0,0,0,1183,544,151,188,1015,488,248,193,salad25464.png,none
1196,596,210,110,1920,1080,0,0,0,0,0,0,salad08449.png,none
1169,591,140,181,455,398,93,48,689,303,66,141,salad11685.png,none
1920,1080,0,0,1560,596,118,167,0,0,0,0,salad08187.png,none
1920,1080,0,0,1572,606,227,297,657,243,47,132,salad09943.png,none
1027,601,145,97,1364,685,159,85,1181,698,247,230,salad07847.png,none
1122,592,109,178,381,506,95,52,617,393,54,149,salad11781.png,none
1222,622,234,108,1920,1080,0,0,0,0,0,0,salad08412.png,none
1114,587,110,178,1920,1080,0,0,607,391,53,149,salad11787.png,none
1204,680,189,139,1920,1080,0,0,139,294,89,180,salad11626.png,none
1192,607,222,106,1920,1080,0,0,0,0,0,0,salad08332.png,none
1920,1080,0,0,1492,687,154,95,0,0,0,0,salad09815.png,none
1216,627,230,108,1920,1080,0,0,0,0,0,0,salad08430.png,none
837,379,152,180,1920,0,0,0,681,524,317,249,salad03166.png,none
1242,630,151,96,1322,427,166,126,1129,539,330,268,salad15118.png,none
0,0,0,0,1407,706,145,164,1384,651,297,245,salad25511.png,none
1217,625,223,111,1920,1080,0,0,0,0,0,0,salad08439.png,none
1221,619,232,108,1920,1080,0,0,0,0,0,0,salad08385.png,none
1022,589,168,96,1436,586,161,103,1350,668,328,257,salad25529.png,none
1920,1080,0,0,1174,812,171,106,0,0,0,0,salad08601.png,none
0,0,0,0,1057,604,81,91,1186,700,237,228,salad07844.png,none
892,588,95,104,1920,1080,0,0,120,302,101,162,salad00088.png,none
1219,628,239,111,1920,1080,0,0,0,0,0,0,salad08400.png,none
1223,628,237,111,1920,1080,0,0,0,0,0,0,salad08416.png,none
1168,522,222,130,1920,1080,0,0,0,0,0,0,salad08322.png,none
0,0,0,0,1221,735,170,141,1098,706,279,207,salad08575.png,none
1171,459,192,155,1920,0,0,0,0,1080,0,0,salad08318.png,none
0,0,0,0,1300,728,153,68,983,517,385,284,salad15133.png,none
1920,1080,0,0,1149,828,174,100,0,0,0,0,salad08608.png,none
933,332,205,195,1920,0,0,0,0,1080,0,0,salad08725.png,none
1920,1080,0,0,1213,423,64,126,769,331,108,277,salad03717.png,none
0,0,0,0,1181,529,147,174,1020,489,250,188,salad25463.png,none
0,0,0,0,1183,559,155,193,984,488,297,192,salad25465.png,none
1196,623,228,114,1920,1080,0,0,0,0,0,0,salad08373.png,none
1920,1080,0,0,1168,812,172,106,0,0,0,0,salad08602.png,none
933,606,152,123,1920,1080,0,0,0,0,0,0,salad08732.png,none
1920,1080,0,0,1130,857,167,69,0,0,0,0,salad08625.png,none
0,1080,0,0,1268,586,130,204,1230,257,146,208,salad07887.png,none
1920,1080,0,0,1331,738,136,86,0,0,0,0,salad09804.png,none
1230,625,229,100,1920,1080,0,0,0,0,0,0,salad08390.png,none
0,0,0,0,1272,716,149,173,893,486,251,173,salad25492.png,none
869,586,168,97,1342,628,132,156,1156,300,131,218,salad07871.png,none
0,1080,0,0,1024,678,135,66,1020,61,107,121,salad16080.png,none
1159,589,113,176,1920,1080,0,0,694,363,66,142,salad11713.png,none
0,1080,0,0,1061,600,92,71,915,248,126,272,salad15663.png,none
1920,1080,0,0,433,473,97,54,669,378,60,144,salad11727.png,none
