hand_min_x,hand_min_y,hand_width,hand_length,object_min_x,object_min_y,object_width,object_height,picture_name,grasp
837,457,178,131,0,0,0,0,none01604.png,none
1055,179,129,100,0,0,0,0,none03021.png,none
791,424,263,292,0,0,0,0,none05197.png,none
889,539,167,226,108,848,73,23,none05348.png,none
741,460,125,193,0,0,0,0,none05425.png,none
896,337,102,89,0,0,0,0,none01540.png,none
697,546,102,146,0,0,0,0,none04945.png,none
632,480,178,231,0,0,0,0,none04960.png,none
853,555,190,155,0,0,0,0,none05178.png,none
679,374,163,117,0,0,0,0,none00308.png,none
770,301,244,273,0,0,0,0,none01323.png,none
858,670,222,185,0,0,0,0,none02811.png,none
1259,584,154,146,0,0,0,0,none02873.png,none
739,599,160,152,0,0,0,0,none01121.png,none
772,271,111,102,0,0,0,0,none01731.png,none
678,509,220,158,0,0,0,0,none04846.png,none
670,380,199,262,0,0,0,0,none05265.png,none
630,333,213,199,0,0,0,0,none00558.png,none
1256,606,160,186,0,0,0,0,none04310.png,none
811,323,142,139,0,0,0,0,none01357.png,none
725,376,186,167,0,0,0,0,none00581.png,none
1176,602,76,92,0,0,0,0,none03625.png,none
1062,685,171,105,0,0,0,0,none03886.png,none
864,383,222,195,0,0,0,0,none02318.png,none
1276,357,210,255,49,871,40,27,none04286.png,none
1210,351,170,114,0,0,0,0,none03521.png,none
779,372,115,96,0,0,0,0,none01709.png,none
1146,461,175,172,0,0,0,0,none04016.png,none
1351,441,239,102,0,0,0,0,none01987.png,none
933,653,192,134,0,0,0,0,none03855.png,none
1130,315,228,214,0,0,0,0,none04602.png,none
720,700,100,86,0,0,0,0,none00237.png,none
677,613,194,154,0,0,0,0,none01109.png,none
636,664,274,239,1150,1022,56,47,none03290.png,none
700,642,122,156,0,0,0,0,none01259.png,none
1223,403,171,249,0,0,0,0,none02700.png,none
928,455,186,157,1666,705,60,58,none03371.png,none
934,461,197,198,0,0,0,0,none00353.png,none
584,311,219,204,0,0,0,0,none00064.png,none
914,424,260,246,0,0,0,0,none04485.png,none
1313,468,110,148,0,0,0,0,none04019.png,none
1318,447,117,134,0,0,0,0,none02434.png,none
570,311,204,203,0,0,0,0,none00084.png,none
669,364,240,194,0,0,0,0,none00572.png,none
914,736,143,113,0,0,0,0,none05399.png,none
1300,444,231,179,0,0,0,0,none04044.png,none
1131,399,138,112,0,0,0,0,none02642.png,none
592,292,217,298,0,0,0,0,none04735.png,none
448,342,364,312,0,0,0,0,none04760.png,none
716,347,217,254,0,0,0,0,none00769.png,none
590,529,210,107,0,0,0,0,none00548.png,none
999,717,169,109,0,0,0,0,none04629.png,none
1086,661,195,149,0,0,0,0,none04387.png,none
657,563,132,127,0,0,0,0,none04951.png,none
1380,116,215,158,0,0,0,0,none02793.png,none
898,689,144,88,526,709,27,23,none03217.png,none
900,657,159,116,1647,740,82,86,none03361.png,none
796,424,211,168,997,933,49,40,none03270.png,none
770,636,160,65,0,0,0,0,none05594.png,none
1279,470,99,165,0,0,0,0,none02369.png,none
672,306,101,114,0,0,0,0,none01595.png,none
1165,260,106,131,980,884,46,35,none03262.png,none
824,532,202,181,0,0,0,0,none05174.png,none
875,767,142,81,0,0,0,0,none03227.png,none
1143,485,155,179,0,0,0,0,none02422.png,none
791,619,113,100,0,0,0,0,none04998.png,none
680,285,223,246,0,0,0,0,none00326.png,none
889,527,160,231,127,849,72,24,none05347.png,none
592,497,200,182,0,0,0,0,none01188.png,none
899,616,222,119,0,0,0,0,none00134.png,none
928,747,138,97,0,0,0,0,none03417.png,none
420,315,378,324,0,0,0,0,none04765.png,none
703,437,222,160,0,0,0,0,none00446.png,none
964,796,197,157,0,0,0,0,none02849.png,none
1438,319,92,147,0,0,0,0,none04565.png,none
981,745,193,172,0,0,0,0,none02848.png,none
1106,695,146,99,0,0,0,0,none03884.png,none
1304,436,228,187,0,0,0,0,none04045.png,none
1220,582,197,230,110,861,41,26,none04290.png,none
1145,343,191,216,0,0,0,0,none02391.png,none
679,680,201,100,0,0,0,0,none00413.png,none
1016,671,198,131,0,0,0,0,none04583.png,none
1441,273,155,133,0,0,0,0,none02661.png,none
1066,303,159,114,0,0,0,0,none01890.png,none
677,284,225,250,0,0,0,0,none00324.png,none
1104,300,150,125,0,0,0,0,none01898.png,none
869,589,164,138,0,0,0,0,none05417.png,none
496,98,183,266,0,0,0,0,none00669.png,none
733,523,130,112,0,0,0,0,none01414.png,none
912,401,180,158,312,787,31,23,none04707.png,none
1275,421,141,98,0,0,0,0,none02245.png,none
806,422,174,131,0,0,0,0,none00754.png,none
1512,395,177,185,0,0,0,0,none02211.png,none
1004,715,157,116,0,0,0,0,none03805.png,none
601,122,205,299,0,0,0,0,none00653.png,none
695,409,206,240,0,0,0,0,none05232.png,none
808,453,217,268,0,0,0,0,none05052.png,none
993,697,170,83,0,0,0,0,none01721.png,none
623,709,76,172,0,0,0,0,none01176.png,none
1279,494,202,137,0,0,0,0,none04078.png,none
802,525,211,179,0,0,0,0,none05172.png,none
1334,280,196,246,0,0,0,0,none04235.png,none
1349,478,170,174,0,0,0,0,none02878.png,none
1175,389,112,117,0,0,0,0,none04679.png,none
1510,227,118,91,178,741,38,28,none03196.png,none
1345,495,164,133,0,0,0,0,none04076.png,none
951,842,124,94,0,0,0,0,none03546.png,none
777,411,200,194,0,0,0,0,none00461.png,none
838,469,171,257,0,0,0,0,none05313.png,none
1443,388,175,161,0,0,0,0,none02233.png,none
767,377,184,136,0,0,0,0,none00592.png,none
900,553,174,227,60,852,75,26,none05351.png,none
916,323,183,169,0,0,0,0,none03045.png,none
591,511,187,171,0,0,0,0,none01187.png,none
828,851,212,160,0,0,0,0,none02826.png,none
1069,589,190,107,0,0,0,0,none03833.png,none
604,133,207,295,0,0,0,0,none00652.png,none
755,376,205,241,0,0,0,0,none00476.png,none
751,401,215,212,0,0,0,0,none00762.png,none
1350,460,206,178,0,0,0,0,none04041.png,none
726,412,264,233,0,0,0,0,none05215.png,none
1147,408,206,182,0,0,0,0,none02427.png,none
729,435,235,182,990,929,72,57,none03271.png,none
1021,356,171,193,0,0,0,0,none02313.png,none
1075,296,154,125,0,0,0,0,none01893.png,none
616,314,267,244,0,0,0,0,none00692.png,none
1073,445,202,139,0,0,0,0,none04646.png,none
1224,233,191,212,0,0,0,0,none04274.png,none
710,517,180,129,0,0,0,0,none05271.png,none
1487,213,135,106,227,733,37,26,none03199.png,none
1159,379,197,168,0,0,0,0,none04243.png,none
1127,610,124,116,0,0,0,0,none02475.png,none
949,242,259,246,0,0,0,0,none02627.png,none
1270,227,228,258,0,0,0,0,none02586.png,none
1238,436,150,157,0,0,0,0,none04545.png,none
1062,591,183,116,0,0,0,0,none03827.png,none
755,405,231,150,0,0,0,0,none01306.png,none
652,281,204,210,0,0,0,0,none00905.png,none
930,725,201,125,0,0,0,0,none00150.png,none
1061,420,198,208,0,0,0,0,none02384.png,none
1324,280,238,273,0,0,0,0,none02598.png,none
722,634,175,155,0,0,0,0,none01118.png,none
695,639,188,157,0,0,0,0,none01113.png,none
578,326,205,169,0,0,0,0,none00030.png,none
809,461,220,185,0,0,0,0,none05447.png,none
779,650,102,101,0,0,0,0,none05603.png,none
917,660,172,138,0,0,0,0,none05097.png,none
704,407,144,117,0,0,0,0,none00274.png,none
1042,672,142,137,0,0,0,0,none03950.png,none
1167,323,191,219,0,0,0,0,none02394.png,none
789,467,259,241,0,0,0,0,none05199.png,none
1256,529,104,92,0,0,0,0,none02483.png,none
931,402,163,165,167,718,53,30,none04696.png,none
994,658,168,79,0,0,0,0,none01715.png,none
588,327,212,153,0,0,0,0,none00631.png,none
1269,495,94,121,0,0,0,0,none02946.png,none
1360,122,204,171,0,0,0,0,none02795.png,none
700,430,143,121,0,0,0,0,none00260.png,none
652,365,144,119,0,0,0,0,none01623.png,none
758,466,160,84,0,0,0,0,none00405.png,none
528,301,193,182,0,0,0,0,none00185.png,none
1396,400,129,104,0,0,0,0,none02516.png,none
1230,193,221,279,0,0,0,0,none02609.png,none
1093,274,165,193,702,1006,168,147,none02079.png,none
604,343,214,205,0,0,0,0,none00901.png,none
1016,377,212,146,1656,695,52,50,none03379.png,none
682,366,204,158,0,0,0,0,none01450.png,none
1030,676,154,119,0,0,0,0,none03706.png,none
788,447,183,210,0,0,0,0,none00712.png,none
555,317,215,199,0,0,0,0,none00083.png,none
668,356,135,118,0,0,0,0,none01624.png,none
657,472,167,164,0,0,0,0,none00965.png,none
1113,695,162,125,0,0,0,0,none04395.png,none
1267,189,178,204,0,0,0,0,none02799.png,none
800,532,214,162,0,0,0,0,none04801.png,none
1084,356,220,213,0,0,0,0,none02756.png,none
648,407,271,249,1009,949,50,40,none03273.png,none
844,382,109,183,0,0,0,0,none00751.png,none
577,243,167,170,0,0,0,0,none00678.png,none
1329,283,237,268,0,0,0,0,none02596.png,none
581,302,205,228,0,0,0,0,none00801.png,none
1295,256,157,159,0,0,0,0,none03314.png,none
1309,478,183,139,0,0,0,0,none04068.png,none
724,462,211,94,0,0,0,0,none00702.png,none
830,755,168,49,0,0,0,0,none00215.png,none
1019,698,155,125,0,0,0,0,none03944.png,none
594,310,216,200,0,0,0,0,none00061.png,none
1372,290,247,132,0,0,0,0,none02277.png,none
1537,389,137,200,0,0,0,0,none04222.png,none
1005,644,201,125,0,0,0,0,none04624.png,none
833,363,135,136,0,0,0,0,none03475.png,none
745,385,182,126,0,0,0,0,none00588.png,none
989,564,148,130,1548,987,60,40,none03337.png,none
702,405,145,118,0,0,0,0,none00275.png,none
724,718,184,96,0,0,0,0,none00416.png,none
721,557,157,140,0,0,0,0,none00826.png,none
778,437,235,172,0,0,0,0,none03007.png,none
759,710,246,137,0,0,0,0,none01822.png,none
1301,433,227,192,0,0,0,0,none04046.png,none
1378,457,120,164,0,0,0,0,none04027.png,none
1459,509,142,179,0,0,0,0,none02690.png,none
609,328,198,160,0,0,0,0,none00037.png,none
1341,407,160,120,0,0,0,0,none01976.png,none
1068,492,183,214,0,0,0,0,none02838.png,none
579,285,226,204,0,0,0,0,none00682.png,none
1073,409,193,264,0,0,0,0,none04011.png,none
645,489,158,162,1506,1019,110,121,none00966.png,none
702,513,98,195,0,0,0,0,none01033.png,none
1264,400,143,149,0,0,0,0,none02651.png,none
835,337,196,149,0,0,0,0,none03009.png,none
593,528,207,119,0,0,0,0,none00547.png,none
644,325,185,192,0,0,0,0,none00049.png,none
735,328,192,172,0,0,0,0,none01275.png,none
756,718,122,147,0,0,0,0,none05470.png,none
1021,167,175,223,0,0,0,0,none01879.png,none
1101,538,163,113,0,0,0,0,none03514.png,none
784,655,103,101,0,0,0,0,none05602.png,none
792,448,179,206,0,0,0,0,none00711.png,none
1146,326,177,136,0,0,0,0,none04460.png,none
834,568,243,156,0,0,0,0,none00367.png,none
1337,420,205,214,0,0,0,0,none04051.png,none
776,506,188,219,0,0,0,0,none05288.png,none
698,403,144,133,0,0,0,0,none04742.png,none
1218,634,149,184,0,0,0,0,none03578.png,none
623,320,265,243,0,0,0,0,none00693.png,none
547,249,259,214,0,0,0,0,none00645.png,none
843,447,161,103,0,0,0,0,none01583.png,none
664,625,133,163,0,0,0,0,none04921.png,none
888,590,163,183,0,0,0,0,none05360.png,none
855,533,226,119,0,0,0,0,none00130.png,none
1234,281,160,164,0,0,0,0,none03324.png,none
1009,169,188,236,0,0,0,0,none01877.png,none
718,386,187,151,0,0,0,0,none00582.png,none
696,400,133,123,0,0,0,0,none01635.png,none
1025,430,203,264,0,0,0,0,none04009.png,none
684,498,119,127,0,0,0,0,none01081.png,none
673,424,194,212,0,0,0,0,none05260.png,none
1119,701,147,86,0,0,0,0,none02542.png,none
591,638,122,146,0,0,0,0,none01267.png,none
1141,655,73,100,0,0,0,0,none03735.png,none
766,423,73,131,0,0,0,0,none01096.png,none
902,398,202,177,0,0,0,0,none03060.png,none
485,193,185,170,0,0,0,0,none00674.png,none
848,703,263,222,0,0,0,0,none05071.png,none
699,386,285,267,0,0,0,0,none05217.png,none
712,601,140,67,0,0,0,0,none01069.png,none
1111,505,102,108,0,0,0,0,none03664.png,none
1441,236,131,89,60,746,41,30,none03188.png,none
943,485,139,107,0,0,0,0,none02340.png,none
1403,296,146,116,0,0,0,0,none02044.png,none
876,653,162,97,0,0,0,0,none04899.png,none
945,407,207,184,0,0,0,0,none03071.png,none
688,361,218,188,0,0,0,0,none00577.png,none
884,698,160,119,0,0,0,0,none05404.png,none
804,513,289,281,0,0,0,0,none02719.png,none
708,291,265,232,0,0,0,0,none00598.png,none
1202,280,181,226,0,0,0,0,none02297.png,none
1293,259,150,153,0,0,0,0,none03313.png,none
566,621,144,109,0,0,0,0,none01769.png,none
1408,419,206,108,0,0,0,0,none01989.png,none
691,367,170,245,0,0,0,0,none00484.png,none
931,431,233,252,0,0,0,0,none03995.png,none
1099,521,111,113,1856,242,125,278,none03669.png,none
785,461,230,227,0,0,0,0,none05201.png,none
614,314,232,211,0,0,0,0,none00561.png,none
1017,186,204,265,0,0,0,0,none03116.png,none
576,330,205,167,0,0,0,0,none00029.png,none
740,544,104,143,0,0,0,0,none01030.png,none
1344,411,199,221,0,0,0,0,none04052.png,none
724,343,209,164,0,0,0,0,none01286.png,none
1239,394,131,131,0,0,0,0,none04456.png,none
1211,195,216,273,0,0,0,0,none02610.png,none
1243,124,207,235,0,0,0,0,none02740.png,none
1270,504,129,142,0,0,0,0,none02930.png,none
1124,532,184,175,0,0,0,0,none03935.png,none
788,877,186,112,0,0,0,0,none03556.png,none
1108,331,246,219,0,0,0,0,none02570.png,none
795,880,181,111,0,0,0,0,none03561.png,none
829,531,138,197,0,0,0,0,none05284.png,none
966,543,145,110,206,737,72,20,none03213.png,none
1206,631,93,82,0,0,0,0,none03620.png,none
1051,888,175,152,372,839,31,22,none04305.png,none
1066,185,129,106,0,0,0,0,none03024.png,none
1052,749,155,96,0,0,0,0,none01719.png,none
433,855,188,141,0,0,0,0,none05485.png,none
1211,183,142,148,0,0,0,0,none03149.png,none
1055,662,184,120,0,0,0,0,none03889.png,none
480,360,329,284,0,0,0,0,none04753.png,none
1171,287,164,221,0,0,0,0,none02305.png,none
1382,470,187,207,563,839,27,21,none04316.png,none
652,497,192,230,0,0,0,0,none04964.png,none
1226,201,236,223,0,0,0,0,none04607.png,none
945,418,151,183,0,0,0,0,none00348.png,none
838,802,225,140,0,0,0,0,none03798.png,none
681,488,189,151,0,0,0,0,none05253.png,none
1009,649,171,111,0,0,0,0,none03645.png,none
729,453,127,202,0,0,0,0,none05427.png,none
751,697,194,123,0,0,0,0,none05019.png,none
489,117,182,248,0,0,0,0,none00670.png,none
980,683,201,129,0,0,0,0,none03869.png,none
772,466,216,250,0,0,0,0,none05166.png,none
1074,333,202,203,0,0,0,0,none02749.png,none
1099,625,169,137,0,0,0,0,none03893.png,none
780,463,184,186,0,0,0,0,none00710.png,none
711,424,164,189,0,0,0,0,none00745.png,none
753,485,201,153,0,0,0,0,none00708.png,none
856,698,199,162,0,0,0,0,none05066.png,none
819,322,140,137,0,0,0,0,none01359.png,none
864,756,127,70,0,0,0,0,none00221.png,none
1177,294,101,110,0,0,0,0,none01902.png,none
1271,557,158,155,0,0,0,0,none02874.png,none
983,741,178,103,0,0,0,0,none00142.png,none
1088,686,166,103,0,0,0,0,none03875.png,none
578,313,216,192,0,0,0,0,none00026.png,none
1280,594,80,89,0,0,0,0,none03613.png,none
984,373,261,257,0,0,0,0,none04480.png,none
541,553,309,242,0,0,0,0,none00202.png,none
1217,274,185,219,0,0,0,0,none02295.png,none
1005,436,211,263,0,0,0,0,none04008.png,none
1018,222,149,87,0,0,0,0,none03030.png,none
996,825,216,129,0,0,0,0,none04885.png,none
690,304,173,195,0,0,0,0,none00166.png,none
1273,219,238,290,0,0,0,0,none02604.png,none
674,517,133,116,0,0,0,0,none00252.png,none
1179,447,150,114,0,0,0,0,none03530.png,none
1054,213,238,266,0,0,0,0,none02619.png,none
840,562,240,229,0,0,0,0,none01227.png,none
899,325,122,129,0,0,0,0,none03481.png,none
1190,332,147,153,0,0,0,0,none03305.png,none
992,661,159,91,0,0,0,0,none01722.png,none
1480,279,150,136,0,0,0,0,none02665.png,none
1369,284,264,135,0,0,0,0,none02283.png,none
645,420,218,286,0,0,0,0,none04721.png,none
819,334,133,133,0,0,0,0,none01366.png,none
1094,613,149,173,0,0,0,0,none03960.png,none
1279,289,270,119,0,0,0,0,none02272.png,none
1030,622,135,109,0,0,0,0,none02466.png,none
980,415,205,180,0,0,0,0,none03075.png,none
611,566,186,143,0,0,0,0,none01064.png,none
851,618,166,133,0,0,0,0,none05108.png,none
639,405,191,216,0,0,0,0,none00815.png,none
743,488,207,114,0,0,0,0,none00705.png,none
606,327,195,165,0,0,0,0,none00035.png,none
1082,431,194,212,0,0,0,0,none02378.png,none
1388,211,102,138,0,0,0,0,none03155.png,none
527,72,203,302,0,0,0,0,none00663.png,none
1180,291,175,219,0,0,0,0,none02301.png,none
665,407,201,237,0,0,0,0,none05263.png,none
1330,414,179,114,0,0,0,0,none01977.png,none
1252,331,135,105,0,0,0,0,none01947.png,none
841,699,243,226,0,0,0,0,none05069.png,none
639,334,184,163,0,0,0,0,none00042.png,none
583,316,216,196,0,0,0,0,none00024.png,none
571,277,199,218,0,0,0,0,none00092.png,none
1298,199,125,135,0,0,0,0,none03153.png,none
821,853,210,165,0,0,0,0,none02824.png,none
1015,375,211,149,1656,695,51,50,none03378.png,none
1181,441,208,234,0,0,0,0,none04361.png,none
790,498,187,148,0,0,0,0,none04856.png,none
591,334,205,201,0,0,0,0,none00014.png,none
1456,486,198,207,0,0,0,0,none04321.png,none
952,487,138,104,0,0,0,0,none02338.png,none
658,479,224,162,0,0,0,0,none04844.png,none
999,630,163,118,0,0,0,0,none03654.png,none
1300,429,166,87,0,0,0,0,none01972.png,none
690,435,119,138,0,0,0,0,none01089.png,none
909,655,153,114,1363,971,79,78,none03342.png,none
1028,701,144,123,0,0,0,0,none03946.png,none
765,650,109,110,0,0,0,0,none05604.png,none
1498,463,186,89,0,0,0,0,none02205.png,none
568,282,211,249,0,0,0,0,none00800.png,none
992,371,210,159,1660,694,51,48,none03376.png,none
880,570,221,156,0,0,0,0,none01610.png,none
636,640,129,141,0,0,0,0,none01262.png,none
933,534,152,104,0,0,0,0,none01713.png,none
1165,398,204,188,0,0,0,0,none02428.png,none
605,684,274,246,978,733,85,38,none03287.png,none
664,209,220,274,0,0,0,0,none00918.png,none
684,703,196,98,0,0,0,0,none00415.png,none
809,484,257,240,0,0,0,0,none05193.png,none
716,550,163,133,0,0,0,0,none00825.png,none
1328,495,93,100,0,0,0,0,none04525.png,none
1077,635,131,112,0,0,0,0,none04636.png,none
922,329,224,114,0,0,0,0,none01859.png,none
1204,663,119,121,0,0,0,0,none02922.png,none
595,417,189,158,0,0,0,0,none00496.png,none
997,711,175,113,0,0,0,0,none04628.png,none
574,90,206,312,0,0,0,0,none00657.png,none
824,452,114,123,0,0,0,0,none04824.png,none
1321,431,148,120,0,0,0,0,none04556.png,none
1097,615,153,172,0,0,0,0,none03964.png,none
838,505,119,186,0,0,0,0,none05420.png,none
1224,621,95,78,0,0,0,0,none03618.png,none
739,457,123,200,0,0,0,0,none05426.png,none
1258,202,237,292,0,0,0,0,none02606.png,none
721,339,217,161,0,0,0,0,none01290.png,none
1007,568,159,116,0,0,0,0,none01938.png,none
758,480,175,180,0,0,0,0,none01197.png,none
910,715,214,132,0,0,0,0,none00151.png,none
1063,587,185,112,0,0,0,0,none03830.png,none
1201,445,104,115,0,0,0,0,none02356.png,none
942,343,189,95,0,0,0,0,none01844.png,none
568,424,156,191,0,0,0,0,none01057.png,none
674,623,122,156,0,0,0,0,none04920.png,none
825,377,126,118,0,0,0,0,none01602.png,none
1311,494,183,136,0,0,0,0,none04077.png,none
1413,288,154,136,0,0,0,0,none02659.png,none
968,709,142,129,0,0,0,0,none03739.png,none
1173,575,69,105,0,0,0,0,none03628.png,none
1485,368,141,155,0,0,0,0,none01995.png,none
1191,452,150,155,0,0,0,0,none04542.png,none
1189,454,142,146,0,0,0,0,none04540.png,none
1137,449,170,187,0,0,0,0,none02376.png,none
1121,210,186,219,0,0,0,0,none03102.png,none
1203,451,209,231,0,0,0,0,none04360.png,none
883,681,199,131,0,0,0,0,none04895.png,none
992,773,198,125,0,0,0,0,none04589.png,none
1450,467,149,164,0,0,0,0,none04039.png,none
749,656,174,109,0,0,0,0,none00412.png,none
853,766,216,177,0,0,0,0,none03795.png,none
649,261,123,180,0,0,0,0,none00107.png,none
796,617,213,172,0,0,0,0,none05517.png,none
848,751,141,154,0,0,0,0,none05374.png,none
724,487,246,249,0,0,0,0,none05146.png,none
758,394,186,196,0,0,0,0,none00162.png,none
575,319,221,200,0,0,0,0,none00023.png,none
846,497,177,241,0,0,0,0,none05300.png,none
606,318,267,226,0,0,0,0,none00690.png,none
922,391,216,177,1666,698,52,50,none03373.png,none
829,676,144,113,0,0,0,0,none05461.png,none
969,488,130,100,0,0,0,0,none02336.png,none
625,381,195,217,0,0,0,0,none00896.png,none
800,565,174,141,0,0,0,0,none05152.png,none
785,601,85,82,0,0,0,0,none04994.png,none
976,482,200,212,0,0,0,0,none03980.png,none
675,236,283,270,0,0,0,0,none00604.png,none
1010,428,108,158,0,0,0,0,none02329.png,none
791,440,170,201,0,0,0,0,none04785.png,none
926,464,205,161,1632,721,80,81,none03391.png,none
1050,437,88,175,0,0,0,0,none02330.png,none
795,621,220,174,0,0,0,0,none05518.png,none
818,393,228,197,0,0,0,0,none02321.png,none
1130,388,134,119,13,792,25,25,none04685.png,none
752,551,103,91,0,0,0,0,none01074.png,none
940,673,210,136,0,0,0,0,none01215.png,none
1497,525,138,152,0,0,0,0,none02688.png,none
1064,695,186,102,0,0,0,0,none01528.png,none
658,364,166,201,0,0,0,0,none00809.png,none
1214,746,90,105,0,0,0,0,none03764.png,none
579,638,122,153,0,0,0,0,none01269.png,none
703,531,238,275,0,0,0,0,none05581.png,none
738,287,265,287,0,0,0,0,none01318.png,none
814,435,299,252,0,0,0,0,none03985.png,none
621,326,222,205,0,0,0,0,none00559.png,none
989,925,167,77,0,0,0,0,none02851.png,none
1354,254,123,114,0,0,0,0,none03159.png,none
1415,457,128,161,0,0,0,0,none04031.png,none
1079,559,155,119,0,0,0,0,none03726.png,none
873,681,262,199,0,0,0,0,none05087.png,none
659,375,154,197,0,0,0,0,none04739.png,none
862,422,252,298,0,0,0,0,none03973.png,none
657,623,279,222,1174,1035,57,49,none03292.png,none
874,569,172,143,0,0,0,0,none05453.png,none
1110,338,246,218,0,0,0,0,none02569.png,none
802,868,183,112,0,0,0,0,none03555.png,none
587,335,206,201,0,0,0,0,none00013.png,none
631,601,160,134,0,0,0,0,none00852.png,none
1099,490,179,217,0,0,0,0,none02841.png,none
847,439,189,116,0,0,0,0,none00127.png,none
1239,269,167,167,0,0,0,0,none03322.png,none
1039,634,171,107,0,0,0,0,none03812.png,none
847,492,164,181,0,0,0,0,none04798.png,none
1095,520,140,129,0,0,0,0,none03678.png,none
1476,404,161,124,0,0,0,0,none01990.png,none
1481,216,128,102,245,731,37,27,none03200.png,none
1299,167,184,190,0,0,0,0,none02798.png,none
663,552,130,114,0,0,0,0,none00250.png,none
956,336,185,97,0,0,0,0,none01847.png,none
965,428,211,272,0,0,0,0,none04001.png,none
666,632,151,171,0,0,0,0,none04926.png,none
861,548,190,162,0,0,0,0,none05180.png,none
1274,315,134,104,0,0,0,0,none01948.png,none
594,342,206,144,0,0,0,0,none00635.png,none
481,372,142,171,0,0,0,0,none00984.png,none
1049,426,169,254,0,0,0,0,none03997.png,none
732,372,227,155,0,0,0,0,none01300.png,none
947,321,182,150,0,0,0,0,none01830.png,none
765,717,150,110,0,0,0,0,none05467.png,none
1304,397,143,177,0,0,0,0,none04375.png,none
789,480,217,217,0,0,0,0,none05170.png,none
717,488,231,291,0,0,0,0,none05577.png,none
929,485,148,112,0,0,0,0,none02342.png,none
1415,383,107,135,0,0,0,0,none04559.png,none
1067,211,235,266,0,0,0,0,none02618.png,none
1020,442,211,214,0,0,0,0,none02401.png,none
1264,500,128,102,0,0,0,0,none03440.png,none
1420,243,128,91,19,741,38,29,none03185.png,none
1308,647,86,81,0,0,0,0,none03605.png,none
957,199,221,229,0,0,0,0,none01870.png,none
856,395,297,193,0,0,0,0,none03139.png,none
1199,738,92,97,0,0,0,0,none03763.png,none
1231,456,129,98,0,0,0,0,none03429.png,none
772,545,220,198,0,0,0,0,none05541.png,none
776,583,174,135,0,0,0,0,none05135.png,none
848,368,121,88,0,0,0,0,none01546.png,none
1460,240,122,84,74,747,41,29,none03189.png,none
1249,406,145,97,0,0,0,0,none02251.png,none
909,721,206,142,0,0,0,0,none04892.png,none
709,538,219,269,0,0,0,0,none05583.png,none
1206,256,125,107,0,0,0,0,none01913.png,none
895,514,157,218,290,828,41,28,none05341.png,none
929,373,211,193,0,0,0,0,none02315.png,none
826,754,275,166,0,0,0,0,none05039.png,none
810,484,208,248,0,0,0,0,none05548.png,none
559,234,250,227,0,0,0,0,none00646.png,none
1213,567,96,109,0,0,0,0,none02479.png,none
1233,246,205,253,0,0,0,0,none02582.png,none
955,795,154,117,0,0,0,0,none03700.png,none
1392,292,112,150,0,0,0,0,none04574.png,none
698,363,134,237,0,0,0,0,none00492.png,none
685,281,132,212,0,0,0,0,none00073.png,none
1071,430,197,214,0,0,0,0,none02379.png,none
673,478,195,161,0,0,0,0,none05254.png,none
711,407,123,120,0,0,0,0,none01636.png,none
1224,643,112,128,0,0,0,0,none02923.png,none
1115,541,129,105,1272,544,61,29,none03425.png,none
756,371,185,138,0,0,0,0,none00590.png,none
880,669,193,131,0,0,0,0,none04896.png,none
