hand_min_x,hand_min_y,hand_width,hand_height,handedness,picture_name,grasp
1137,412,200,168,left,frame_4940.jpg,power
849,626,257,203,left,frame_10121.jpg,power
830,644,186,222,left,frame_10207.jpg,power
823,650,213,249,left,frame_9954.jpg,power
855,627,246,194,left,frame_10126.jpg,power
991,171,343,255,left,frame_6686.jpg,power
872,601,211,239,left,frame_10058.jpg,power
819,679,220,258,left,frame_9996.jpg,power
1062,357,313,198,left,frame_4862.jpg,power
448,713,189,267,left,frame_4117.jpg,power
812,693,206,263,left,frame_10025.jpg,power
695,726,153,223,left,frame_4104.jpg,power
836,633,264,200,left,frame_10137.jpg,power
1038,816,170,250,left,frame_10354.jpg,power
447,726,192,256,left,frame_4118.jpg,power
981,91,288,261,left,frame_6689.jpg,power
829,643,193,224,left,frame_10212.jpg,power
772,720,114,185,left,frame_9090.jpg,power
1071,813,184,248,left,frame_10364.jpg,power
1104,410,198,158,left,frame_4925.jpg,power
936,775,126,221,left,frame_4091.jpg,power
806,675,219,264,left,frame_9984.jpg,power
1091,361,267,177,left,frame_4894.jpg,power
1085,395,218,160,left,frame_4910.jpg,power
824,647,221,218,left,frame_10177.jpg,power
811,630,245,210,left,frame_10141.jpg,power
649,441,250,257,left,frame_6821.jpg,power
1181,341,298,193,left,frame_4873.jpg,power
838,651,195,215,left,frame_10226.jpg,power
813,649,218,203,left,frame_10163.jpg,power
838,655,211,215,left,frame_10243.jpg,power
1073,382,238,169,left,frame_4903.jpg,power
531,564,372,333,left,frame_6802.jpg,power
655,438,248,260,left,frame_6824.jpg,power
947,724,177,249,left,frame_10301.jpg,power
814,674,227,264,left,frame_9995.jpg,power
806,715,238,262,left,frame_10011.jpg,power
863,746,110,151,left,frame_4629.jpg,power
918,583,162,190,left,frame_3251.jpg,power
738,630,312,293,left,frame_460.jpg,power
896,809,218,271,left,frame_9813.jpg,power
811,649,217,203,left,frame_10160.jpg,power
926,793,220,278,left,frame_9818.jpg,power
785,667,181,214,left,frame_701.jpg,power
215,650,231,223,left,frame_7006.jpg,power
834,644,211,218,left,frame_10189.jpg,power
810,696,204,264,left,frame_10024.jpg,power
877,774,137,207,left,frame_4095.jpg,power
824,682,217,257,left,frame_9998.jpg,power
911,747,195,234,left,frame_10322.jpg,power
916,793,271,242,left,frame_9830.jpg,power
557,441,137,173,left,frame_6985.jpg,power
904,810,207,270,left,frame_9802.jpg,power
923,769,131,225,left,frame_4092.jpg,power
879,622,160,184,left,frame_3246.jpg,power
808,676,229,257,left,frame_9976.jpg,power
1040,813,166,250,left,frame_10353.jpg,power
917,705,222,210,left,frame_10287.jpg,power
1008,656,180,159,left,frame_3269.jpg,power
714,624,303,315,left,frame_458.jpg,power
1147,416,198,165,left,frame_4942.jpg,power
776,484,235,233,left,frame_6847.jpg,power
847,609,281,184,left,frame_10081.jpg,power
1101,407,192,158,left,frame_4931.jpg,power
934,569,167,188,left,frame_3254.jpg,power
841,637,220,256,left,frame_10051.jpg,power
927,372,368,262,left,frame_4853.jpg,power
974,789,185,219,left,frame_10344.jpg,power
1035,346,407,321,left,frame_6682.jpg,power
916,744,192,237,left,frame_10317.jpg,power
852,735,184,171,left,frame_4650.jpg,power
822,664,220,245,left,frame_9963.jpg,power
842,653,200,210,left,frame_10245.jpg,power
966,679,194,184,left,frame_524.jpg,power
848,666,248,162,left,frame_9934.jpg,power
911,772,130,215,left,frame_4093.jpg,power
1054,910,175,170,left,frame_10467.jpg,power
822,667,202,272,left,frame_10034.jpg,power
836,646,214,253,left,frame_10047.jpg,power
1178,343,289,186,left,frame_4886.jpg,power
827,644,192,225,left,frame_10208.jpg,power
775,446,426,299,left,frame_4849.jpg,power
858,623,130,156,left,frame_9151.jpg,power
832,640,185,223,left,frame_10198.jpg,power
846,689,140,190,left,frame_3239.jpg,power
841,659,200,216,left,frame_10237.jpg,power
921,761,193,234,left,frame_10329.jpg,power
603,474,296,272,left,frame_6807.jpg,power
856,633,238,197,left,frame_10131.jpg,power
817,674,220,261,left,frame_10002.jpg,power
682,643,222,216,left,frame_3671.jpg,power
1169,676,365,361,left,frame_6526.jpg,power
878,630,152,185,left,frame_3245.jpg,power
806,641,217,212,left,frame_10148.jpg,power
1111,349,275,181,left,frame_4892.jpg,power
1091,366,258,174,left,frame_4895.jpg,power
936,771,192,226,left,frame_10335.jpg,power
840,654,199,215,left,frame_10231.jpg,power
832,640,238,227,left,frame_9940.jpg,power
854,620,209,258,left,frame_10054.jpg,power
871,638,152,191,left,frame_3244.jpg,power
846,603,280,187,left,frame_10084.jpg,power
936,770,186,225,left,frame_10334.jpg,power
540,639,231,256,left,frame_3694.jpg,power
1004,852,139,142,left,frame_4146.jpg,power
900,582,208,238,left,frame_10062.jpg,power
633,707,159,238,left,frame_4107.jpg,power
919,759,193,232,left,frame_10328.jpg,power
1112,344,304,201,left,frame_4866.jpg,power
1098,408,190,182,left,frame_4934.jpg,power
1126,707,374,339,left,frame_6530.jpg,power
819,648,216,249,left,frame_9955.jpg,power
963,729,307,287,left,frame_725.jpg,power
838,640,224,225,left,frame_9941.jpg,power
833,642,200,208,left,frame_10256.jpg,power
805,633,223,213,left,frame_10146.jpg,power
855,615,245,182,left,frame_10092.jpg,power
612,450,283,278,left,frame_6809.jpg,power
613,641,225,233,left,frame_3680.jpg,power
732,630,292,304,left,frame_459.jpg,power
937,723,199,230,left,frame_10295.jpg,power
684,634,324,321,left,frame_456.jpg,power
843,659,203,214,left,frame_10240.jpg,power
759,841,120,220,left,frame_7789.jpg,power
765,839,113,213,left,frame_7790.jpg,power
624,436,274,272,left,frame_6812.jpg,power
587,481,308,292,left,frame_6806.jpg,power
960,779,192,227,left,frame_10341.jpg,power
942,565,167,191,left,frame_3255.jpg,power
847,669,153,194,left,frame_3241.jpg,power
830,640,213,225,left,frame_10184.jpg,power
480,671,516,409,left,frame_4844.jpg,power
818,416,413,294,left,frame_4850.jpg,power
602,644,222,236,left,frame_3682.jpg,power
898,672,221,219,left,frame_10278.jpg,power
857,613,245,162,left,frame_10109.jpg,power
852,626,251,196,left,frame_10122.jpg,power
935,721,199,210,left,frame_10291.jpg,power
1100,343,302,200,left,frame_4865.jpg,power
759,737,108,187,left,frame_9088.jpg,power
942,694,273,282,left,frame_723.jpg,power
811,672,219,259,left,frame_9988.jpg,power
1098,411,196,185,left,frame_4935.jpg,power
890,584,212,241,left,frame_10061.jpg,power
934,768,186,227,left,frame_10333.jpg,power
921,584,234,227,left,frame_10067.jpg,power
866,748,104,144,left,frame_4631.jpg,power
801,633,237,206,left,frame_10145.jpg,power
807,680,225,260,left,frame_9977.jpg,power
866,645,205,211,left,frame_10265.jpg,power
689,641,239,223,left,frame_3670.jpg,power
629,641,225,230,left,frame_3678.jpg,power
1022,741,131,142,left,frame_3275.jpg,power
923,688,200,187,left,frame_518.jpg,power
1072,384,237,166,left,frame_4905.jpg,power
835,638,183,221,left,frame_10196.jpg,power
940,725,202,235,left,frame_10296.jpg,power
854,627,252,199,left,frame_10120.jpg,power
509,637,234,281,left,frame_3704.jpg,power
888,609,243,197,left,frame_10074.jpg,power
861,611,229,177,left,frame_10104.jpg,power
819,762,144,209,left,frame_4098.jpg,power
899,787,200,293,left,frame_9810.jpg,power
817,666,228,251,left,frame_9965.jpg,power
812,690,200,272,left,frame_10026.jpg,power
723,778,114,191,left,frame_9084.jpg,power
840,658,204,218,left,frame_10238.jpg,power
827,734,139,185,left,frame_3236.jpg,power
893,805,207,275,left,frame_9807.jpg,power
813,680,228,261,left,frame_10004.jpg,power
523,641,237,259,left,frame_3699.jpg,power
851,623,248,191,left,frame_10125.jpg,power
695,836,173,226,left,frame_4127.jpg,power
925,803,198,277,left,frame_9795.jpg,power
800,752,140,219,left,frame_4099.jpg,power
673,825,119,202,left,frame_9079.jpg,power
669,651,329,315,left,frame_455.jpg,power
923,695,197,191,left,frame_516.jpg,power
778,660,197,218,left,frame_705.jpg,power
855,623,131,151,left,frame_9155.jpg,power
544,643,234,258,left,frame_3693.jpg,power
829,646,185,221,left,frame_10205.jpg,power
827,646,193,219,left,frame_10214.jpg,power
1196,344,302,191,left,frame_4878.jpg,power
847,636,215,253,left,frame_10052.jpg,power
649,706,159,247,left,frame_4106.jpg,power
749,801,130,204,left,frame_7807.jpg,power
833,639,188,221,left,frame_10197.jpg,power
1146,339,301,201,left,frame_4869.jpg,power
911,592,161,187,left,frame_3250.jpg,power
861,608,254,179,left,frame_10100.jpg,power
784,636,271,269,left,frame_465.jpg,power
631,641,229,228,left,frame_3677.jpg,power
905,669,211,205,left,frame_10277.jpg,power
931,765,185,232,left,frame_10332.jpg,power
943,811,226,243,left,frame_9824.jpg,power
908,792,280,234,left,frame_9831.jpg,power
418,438,177,221,left,frame_6993.jpg,power
721,752,133,191,left,frame_9086.jpg,power
901,661,214,217,left,frame_10276.jpg,power
854,622,249,189,left,frame_10124.jpg,power
606,459,285,277,left,frame_6808.jpg,power
1090,377,231,168,left,frame_4899.jpg,power
849,606,264,184,left,frame_10087.jpg,power
906,804,202,272,left,frame_9801.jpg,power
835,640,198,216,left,frame_10252.jpg,power
1201,348,306,189,left,frame_4882.jpg,power
813,680,206,277,left,frame_10030.jpg,power
532,644,238,254,left,frame_3696.jpg,power
937,722,201,245,left,frame_10298.jpg,power
831,656,207,264,left,frame_10038.jpg,power
1002,794,173,224,left,frame_10347.jpg,power
690,774,115,225,left,frame_9081.jpg,power
1124,347,264,183,left,frame_4891.jpg,power
951,565,166,188,left,frame_3256.jpg,power
640,431,253,268,left,frame_6816.jpg,power
862,632,128,154,left,frame_9139.jpg,power
833,646,191,221,left,frame_10221.jpg,power
871,615,257,187,left,frame_10077.jpg,power
840,649,197,217,left,frame_10227.jpg,power
1188,348,313,188,left,frame_4883.jpg,power
840,649,196,219,left,frame_10229.jpg,power
826,650,219,209,left,frame_10174.jpg,power
769,818,114,222,left,frame_7791.jpg,power
522,611,494,411,left,frame_4845.jpg,power
1163,673,355,363,left,frame_6528.jpg,power
840,647,213,252,left,frame_10048.jpg,power
908,793,214,287,left,frame_9814.jpg,power
567,642,231,256,left,frame_3689.jpg,power
490,425,157,201,left,frame_6989.jpg,power
778,660,195,217,left,frame_704.jpg,power
1095,404,196,160,left,frame_4933.jpg,power
981,791,183,218,left,frame_10345.jpg,power
913,716,209,193,left,frame_506.jpg,power
452,426,157,212,left,frame_6991.jpg,power
810,649,214,212,left,frame_10157.jpg,power
831,642,215,221,left,frame_10183.jpg,power
858,626,130,156,left,frame_9148.jpg,power
359,499,182,218,left,frame_6998.jpg,power
666,443,245,252,left,frame_6826.jpg,power
941,122,241,192,left,frame_6694.jpg,power
843,618,130,158,left,frame_9165.jpg,power
814,651,221,244,left,frame_9959.jpg,power
580,647,221,239,left,frame_3686.jpg,power
831,643,194,224,left,frame_10220.jpg,power
856,609,249,168,left,frame_10110.jpg,power
832,646,187,217,left,frame_10213.jpg,power
810,646,216,215,left,frame_10158.jpg,power
1033,812,172,244,left,frame_10352.jpg,power
595,644,226,238,left,frame_3683.jpg,power
812,691,232,257,left,frame_10006.jpg,power
516,636,228,277,left,frame_3703.jpg,power
470,424,161,209,left,frame_6990.jpg,power
671,448,237,252,left,frame_6828.jpg,power
831,641,213,223,left,frame_10185.jpg,power
943,723,186,246,left,frame_10306.jpg,power
806,716,232,263,left,frame_10012.jpg,power
965,785,191,220,left,frame_10342.jpg,power
1069,736,349,344,left,frame_6537.jpg,power
848,644,205,214,left,frame_10261.jpg,power
1055,363,312,198,left,frame_4861.jpg,power
780,660,195,212,left,frame_706.jpg,power
1137,414,183,171,left,frame_4939.jpg,power
1106,409,193,161,left,frame_4928.jpg,power
807,679,223,263,left,frame_9978.jpg,power
834,642,196,205,left,frame_10255.jpg,power
1183,342,302,194,left,frame_4874.jpg,power
827,643,191,226,left,frame_10201.jpg,power
618,707,155,231,left,frame_4108.jpg,power
848,611,263,183,left,frame_10113.jpg,power
808,634,219,252,left,frame_714.jpg,power
907,579,219,233,left,frame_10063.jpg,power
894,807,209,273,left,frame_9806.jpg,power
482,709,173,246,left,frame_4114.jpg,power
915,756,194,232,left,frame_10327.jpg,power
853,612,261,169,left,frame_10111.jpg,power
833,641,202,213,left,frame_10253.jpg,power
814,660,222,244,left,frame_9971.jpg,power
821,647,219,204,left,frame_10166.jpg,power
833,642,188,220,left,frame_10222.jpg,power
949,723,180,249,left,frame_10303.jpg,power
850,620,260,192,left,frame_10115.jpg,power
911,703,225,203,left,frame_10286.jpg,power
858,645,206,215,left,frame_10263.jpg,power
553,642,226,254,left,frame_3691.jpg,power
949,680,195,187,left,frame_522.jpg,power
810,653,212,202,left,frame_10155.jpg,power
861,607,249,181,left,frame_10101.jpg,power
321,526,188,220,left,frame_7000.jpg,power
1092,377,235,166,left,frame_4898.jpg,power
831,648,239,253,left,frame_471.jpg,power
836,659,207,216,left,frame_10235.jpg,power
795,714,233,266,left,frame_10015.jpg,power
703,780,117,192,left,frame_9083.jpg,power
888,647,209,217,left,frame_10271.jpg,power
938,729,198,240,left,frame_10309.jpg,power
965,779,126,231,left,frame_4088.jpg,power
902,676,222,214,left,frame_10279.jpg,power
851,614,258,182,left,frame_10112.jpg,power
840,653,202,217,left,frame_10230.jpg,power
913,751,195,234,left,frame_10325.jpg,power
941,724,188,246,left,frame_10307.jpg,power
991,103,312,267,left,frame_6688.jpg,power
853,625,250,201,left,frame_10128.jpg,power
651,441,254,260,left,frame_6823.jpg,power
929,801,194,279,left,frame_9797.jpg,power
1121,339,309,198,left,frame_4867.jpg,power
903,677,215,213,left,frame_10280.jpg,power
829,646,218,211,left,frame_10182.jpg,power
1028,900,183,173,left,frame_10476.jpg,power
785,669,179,212,left,frame_700.jpg,power
917,692,208,188,left,frame_517.jpg,power
839,642,202,212,left,frame_10258.jpg,power
809,699,209,260,left,frame_10023.jpg,power
1087,402,212,157,left,frame_4912.jpg,power
823,663,219,233,left,frame_9967.jpg,power
927,714,207,206,left,frame_10289.jpg,power
858,622,129,150,left,frame_9156.jpg,power
808,680,216,255,left,frame_9982.jpg,power
876,652,237,265,left,frame_719.jpg,power
839,657,205,219,left,frame_10239.jpg,power
907,695,218,201,left,frame_10284.jpg,power
1072,386,234,163,left,frame_4906.jpg,power
570,643,228,249,left,frame_3688.jpg,power
829,636,218,229,left,frame_10186.jpg,power
1059,828,203,230,left,frame_10374.jpg,power
539,711,173,237,left,frame_4111.jpg,power
645,439,257,262,left,frame_6820.jpg,power
561,508,339,315,left,frame_6804.jpg,power
805,707,216,262,left,frame_10019.jpg,power
1190,344,304,191,left,frame_4876.jpg,power
814,754,146,178,left,frame_3235.jpg,power
724,763,125,194,left,frame_9085.jpg,power
1012,684,166,151,left,frame_3271.jpg,power
833,644,198,219,left,frame_10193.jpg,power
809,643,218,214,left,frame_10150.jpg,power
886,591,212,242,left,frame_10060.jpg,power
196,679,237,222,left,frame_7007.jpg,power
1149,340,287,187,left,frame_4888.jpg,power
914,818,219,261,left,frame_9816.jpg,power
864,645,150,190,left,frame_3243.jpg,power
827,648,218,217,left,frame_10179.jpg,power
1099,357,271,178,left,frame_4893.jpg,power
866,616,259,185,left,frame_10078.jpg,power
945,725,184,247,left,frame_10302.jpg,power
509,639,246,274,left,frame_3702.jpg,power
1098,405,198,171,left,frame_4932.jpg,power
883,655,124,146,left,frame_9120.jpg,power
749,478,237,241,left,frame_6844.jpg,power
856,616,242,188,left,frame_10091.jpg,power
746,741,119,196,left,frame_9087.jpg,power
1189,347,315,192,left,frame_4879.jpg,power
1127,414,190,170,left,frame_4938.jpg,power
1073,390,227,162,left,frame_4908.jpg,power
939,858,153,169,left,frame_4136.jpg,power
829,643,217,219,left,frame_10181.jpg,power
809,672,224,258,left,frame_9987.jpg,power
832,641,212,220,left,frame_10190.jpg,power
894,608,162,185,left,frame_3248.jpg,power
894,660,245,268,left,frame_720.jpg,power
812,676,205,279,left,frame_10031.jpg,power
821,646,214,255,left,frame_9953.jpg,power
380,487,167,207,left,frame_6997.jpg,power
857,610,241,176,left,frame_10103.jpg,power
854,620,130,148,left,frame_9157.jpg,power
433,431,162,218,left,frame_6992.jpg,power
846,661,258,156,left,frame_9932.jpg,power
835,642,198,212,left,frame_10257.jpg,power
946,724,182,248,left,frame_10305.jpg,power
781,664,190,216,left,frame_703.jpg,power
703,642,218,225,left,frame_3669.jpg,power
830,649,208,268,left,frame_10040.jpg,power
830,640,215,224,left,frame_10187.jpg,power
843,647,201,212,left,frame_10249.jpg,power
680,449,241,247,left,frame_6832.jpg,power
839,645,226,236,left,frame_9946.jpg,power
850,623,253,198,left,frame_10123.jpg,power
834,650,240,206,left,frame_9938.jpg,power
286,560,204,204,left,frame_7002.jpg,power
859,614,263,187,left,frame_10079.jpg,power
837,661,204,215,left,frame_10234.jpg,power
920,588,234,223,left,frame_10068.jpg,power
768,699,130,187,left,frame_9092.jpg,power
853,613,248,176,left,frame_10108.jpg,power
946,723,180,253,left,frame_10300.jpg,power
801,676,225,266,left,frame_9983.jpg,power
929,717,210,211,left,frame_10290.jpg,power
843,648,198,211,left,frame_10248.jpg,power
895,380,387,272,left,frame_4852.jpg,power
561,642,225,255,left,frame_3690.jpg,power
806,679,217,258,left,frame_9981.jpg,power
827,644,210,253,left,frame_9952.jpg,power
813,671,223,258,left,frame_9993.jpg,power
1047,818,164,254,left,frame_10355.jpg,power
758,633,292,279,left,frame_462.jpg,power
738,729,148,233,left,frame_4102.jpg,power
674,446,247,251,left,frame_6830.jpg,power
1167,528,259,210,left,frame_10021.jpg,power
971,785,184,223,left,frame_10343.jpg,power
800,823,128,184,left,frame_3231.jpg,power
506,429,152,197,left,frame_6988.jpg,power
246,601,214,213,left,frame_7004.jpg,power
842,657,204,215,left,frame_10233.jpg,power
844,605,275,184,left,frame_10086.jpg,power
794,650,211,233,left,frame_712.jpg,power
817,643,222,255,left,frame_9956.jpg,power
837,648,191,219,left,frame_10225.jpg,power
961,567,177,179,left,frame_3258.jpg,power
828,640,196,226,left,frame_10217.jpg,power
645,656,351,330,left,frame_454.jpg,power
831,639,216,223,left,frame_10188.jpg,power
1105,408,199,158,left,frame_4926.jpg,power
831,659,206,267,left,frame_10037.jpg,power
944,723,185,249,left,frame_10299.jpg,power
838,637,216,256,left,frame_716.jpg,power
1105,410,208,164,left,frame_4924.jpg,power
463,749,201,262,left,frame_4120.jpg,power
971,572,176,177,left,frame_3259.jpg,power
519,713,165,233,left,frame_4112.jpg,power
880,642,202,216,left,frame_10269.jpg,power
1173,679,349,357,left,frame_6525.jpg,power
783,666,185,211,left,frame_702.jpg,power
899,862,169,180,left,frame_4134.jpg,power
871,746,125,154,left,frame_4643.jpg,power
823,643,220,216,left,frame_10170.jpg,power
805,718,230,258,left,frame_10013.jpg,power
914,580,235,232,left,frame_10065.jpg,power
694,453,245,244,left,frame_6835.jpg,power
845,618,134,160,left,frame_9162.jpg,power
828,643,192,226,left,frame_10209.jpg,power
913,754,195,237,left,frame_10326.jpg,power
843,656,237,186,left,frame_9936.jpg,power
928,572,164,189,left,frame_3253.jpg,power
781,480,242,244,left,frame_6848.jpg,power
864,645,205,210,left,frame_10264.jpg,power
895,613,238,191,left,frame_10073.jpg,power
831,654,206,265,left,frame_10039.jpg,power
760,482,234,236,left,frame_6845.jpg,power
843,629,135,156,left,frame_9182.jpg,power
629,480,113,140,left,frame_6975.jpg,power
890,652,215,214,left,frame_10273.jpg,power
912,746,193,240,left,frame_10319.jpg,power
913,817,218,261,left,frame_9815.jpg,power
935,730,204,237,left,frame_10310.jpg,power
834,652,219,256,left,frame_10044.jpg,power
916,742,198,234,left,frame_10316.jpg,power
806,631,236,209,left,frame_10143.jpg,power
668,711,162,240,left,frame_4105.jpg,power
1198,350,309,189,left,frame_4881.jpg,power
837,658,212,219,left,frame_10241.jpg,power
843,604,284,188,left,frame_10083.jpg,power
801,643,213,241,left,frame_713.jpg,power
1064,816,156,256,left,frame_10357.jpg,power
1002,849,134,142,left,frame_4144.jpg,power
897,789,289,229,left,frame_9832.jpg,power
880,741,100,140,left,frame_4636.jpg,power
816,643,248,257,left,frame_469.jpg,power
1013,256,353,251,left,frame_6684.jpg,power
852,621,256,194,left,frame_10117.jpg,power
918,587,230,221,left,frame_10069.jpg,power
1084,756,339,324,left,frame_6536.jpg,power
566,713,154,223,left,frame_4110.jpg,power
812,647,224,251,left,frame_9958.jpg,power
949,857,178,165,left,frame_4137.jpg,power
920,858,162,179,left,frame_4135.jpg,power
861,741,155,158,left,frame_4645.jpg,power
951,725,177,248,left,frame_10304.jpg,power
1017,713,144,147,left,frame_3273.jpg,power
817,675,221,267,left,frame_10000.jpg,power
910,700,222,197,left,frame_10285.jpg,power
1159,338,296,197,left,frame_4870.jpg,power
569,494,330,301,left,frame_6805.jpg,power
869,647,201,209,left,frame_10266.jpg,power
856,774,142,202,left,frame_4096.jpg,power
926,574,160,191,left,frame_3252.jpg,power
850,732,176,177,left,frame_4651.jpg,power
787,858,181,195,left,frame_4130.jpg,power
828,642,194,225,left,frame_10211.jpg,power
642,682,315,317,left,frame_452.jpg,power
823,647,224,216,left,frame_10173.jpg,power
936,804,244,243,left,frame_9827.jpg,power
852,740,187,164,left,frame_4649.jpg,power
921,819,220,261,left,frame_9817.jpg,power
889,651,210,212,left,frame_10272.jpg,power
909,743,197,242,left,frame_10320.jpg,power
929,805,193,275,left,frame_9796.jpg,power
621,438,278,275,left,frame_6811.jpg,power
832,646,210,248,left,frame_9951.jpg,power
854,626,253,197,left,frame_10119.jpg,power
836,649,223,257,left,frame_10045.jpg,power
818,673,202,280,left,frame_10032.jpg,power
920,710,217,207,left,frame_10288.jpg,power
600,555,467,376,left,frame_4846.jpg,power
913,747,193,235,left,frame_10323.jpg,power
836,719,136,180,left,frame_3237.jpg,power
1145,549,282,196,left,frame_10022.jpg,power
753,631,303,287,left,frame_461.jpg,power
775,799,109,198,left,frame_7798.jpg,power
765,482,237,236,left,frame_6846.jpg,power
856,633,238,202,left,frame_10132.jpg,power
1177,341,297,196,left,frame_4872.jpg,power
1133,339,302,202,left,frame_4868.jpg,power
1136,345,273,190,left,frame_4890.jpg,power
869,865,178,187,left,frame_4133.jpg,power
898,659,210,208,left,frame_10274.jpg,power
847,616,265,178,left,frame_10114.jpg,power
1102,409,220,157,left,frame_4922.jpg,power
900,602,238,203,left,frame_10072.jpg,power
864,749,108,147,left,frame_4630.jpg,power
805,650,215,206,left,frame_10153.jpg,power
628,479,119,152,left,frame_6973.jpg,power
786,647,209,236,left,frame_711.jpg,power
864,614,247,193,left,frame_10094.jpg,power
1001,373,327,218,left,frame_4856.jpg,power
810,673,220,254,left,frame_9986.jpg,power
1001,612,182,173,left,frame_3265.jpg,power
922,801,200,279,left,frame_9798.jpg,power
1100,727,327,339,left,frame_6534.jpg,power
647,643,221,221,left,frame_3675.jpg,power
780,659,197,216,left,frame_707.jpg,power
812,662,222,255,left,frame_9973.jpg,power
938,723,201,237,left,frame_10297.jpg,power
900,600,165,188,left,frame_3249.jpg,power
941,727,192,239,left,frame_10308.jpg,power
811,675,225,262,left,frame_9994.jpg,power
814,673,214,253,left,frame_9990.jpg,power
831,648,182,220,left,frame_10203.jpg,power
794,841,125,188,left,frame_3230.jpg,power
660,440,247,258,left,frame_6825.jpg,power
927,765,193,231,left,frame_10331.jpg,power
1099,412,218,160,left,frame_4919.jpg,power
844,604,282,185,left,frame_10082.jpg,power
859,618,245,194,left,frame_10093.jpg,power
645,665,337,333,left,frame_453.jpg,power
812,671,222,251,left,frame_9975.jpg,power
855,867,167,179,left,frame_4132.jpg,power
852,645,207,216,left,frame_10262.jpg,power
757,731,153,232,left,frame_4101.jpg,power
851,634,214,238,left,frame_10053.jpg,power
940,805,223,252,left,frame_9821.jpg,power
699,457,241,240,left,frame_6836.jpg,power
859,740,111,161,left,frame_4627.jpg,power
1096,405,203,162,left,frame_4914.jpg,power
696,775,122,209,left,frame_9082.jpg,power
1154,414,186,179,left,frame_4943.jpg,power
858,611,237,173,left,frame_10105.jpg,power
841,641,214,258,left,frame_10049.jpg,power
919,803,199,277,left,frame_9799.jpg,power
814,667,224,246,left,frame_9974.jpg,power
936,803,224,262,left,frame_9820.jpg,power
854,634,239,200,left,frame_10133.jpg,power
912,717,211,184,left,frame_507.jpg,power
486,668,413,356,left,frame_6799.jpg,power
586,855,108,135,left,frame_6438.jpg,power
823,631,216,255,left,frame_715.jpg,power
838,654,193,212,left,frame_10228.jpg,power
841,657,207,215,left,frame_10236.jpg,power
817,658,219,247,left,frame_9961.jpg,power
845,665,253,173,left,frame_9935.jpg,power
834,647,236,215,left,frame_9939.jpg,power
639,816,167,219,left,frame_4125.jpg,power
1098,405,206,166,left,frame_4915.jpg,power
770,631,281,277,left,frame_463.jpg,power
994,841,132,146,left,frame_4143.jpg,power
639,645,228,223,left,frame_3676.jpg,power
811,679,218,262,left,frame_9979.jpg,power
1026,759,110,133,left,frame_3276.jpg,power
808,649,212,203,left,frame_10151.jpg,power
1005,671,201,156,left,frame_3270.jpg,power
1089,349,304,195,left,frame_4864.jpg,power
582,649,220,235,left,frame_3685.jpg,power
854,629,242,197,left,frame_10129.jpg,power
522,644,231,254,left,frame_3697.jpg,power
1077,818,175,244,left,frame_10363.jpg,power
809,684,205,265,left,frame_10028.jpg,power
879,741,105,146,left,frame_4635.jpg,power
1001,597,173,165,left,frame_3263.jpg,power
911,577,225,233,left,frame_10064.jpg,power
1107,408,186,160,left,frame_4927.jpg,power
591,647,219,235,left,frame_3684.jpg,power
928,688,201,183,left,frame_520.jpg,power
396,474,159,202,left,frame_6996.jpg,power
820,664,224,245,left,frame_9966.jpg,power
1070,355,314,193,left,frame_4863.jpg,power
521,642,240,256,left,frame_3698.jpg,power
822,650,215,205,left,frame_10169.jpg,power
934,733,201,234,left,frame_10311.jpg,power
