Time,left_none,left_precision,left_power,separator,right_none,right_precision,right_power
1.22 sec,0,0,0,0,0,0,0
1.24 sec,0,0,0,0,0,0,0
1.26 sec,0,0,0,0,0,0,0
1.28 sec,0,0,0,0,0,0,0
1.3 sec,0,0,0,0,0,0,0
1.32 sec,0,0,0,0,0,0,0
1.34 sec,0,0,0,0,0,0,0
1.36 sec,0,0,0,0,0,0,0
1.38 sec,0,0,0,0,0,0,0
1.4 sec,0,0,0,0,0,0,0
1.42 sec,0,0,0,0,0,0,0
1.44 sec,0,0,0,0,0,0,0
1.46 sec,0,0,0,0,0,0,0
1.48 sec,0,0,0,0,0,0,0
1.5 sec,0,0,0,0,0,0,0
1.52 sec,0,0,0,0,0,0,0
1.54 sec,0,0,0,0,0,0,0
1.56 sec,0,0,0,0,0,0,0
1.58 sec,0,0,0,0,0,0,0
1.6 sec,0,0,0,0,0,0,0
1.62 sec,0,0,0,0,0,0,0
1.64 sec,0,0,0,0,0,0,0
1.66 sec,0,0,0,0,0,0,0
1.68 sec,0,0,0,0,0,0,0
1.7 sec,0,0,0,0,0,0,0
1.72 sec,0,0,0,0,0,0,0
1.74 sec,0,0,0,0,0,0,0
1.76 sec,0,0,0,0,0,0,0
1.78 sec,0,0,0,0,0,0,0
1.8 sec,0,0,0,0,0,0,0
1.82 sec,0,0,0,0,0,0,0
1.84 sec,0,0,0,0,0,0,0
1.86 sec,0,0,0,0,0,0,0
1.88 sec,0,0,0,0,0,0,0
1.9 sec,0,0,0,0,0,0,0
1.92 sec,0,0,0,0,0,0,0
1.94 sec,0,0,0,0,0,0,0
1.96 sec,0,0,0,0,0,0,0
1.98 sec,0,0,0,0,0,0,0
2 sec,0,0,0,0,0,0,0
2.02 sec,0,0,0,0,0,0,0
2.04 sec,0,0,0,0,0,0,0
2.06 sec,0,0,0,0,0,0,0
2.08 sec,0,0,0,0,0,0,0
2.1 sec,0,0,0,0,0,0,0
2.12 sec,0,0,0,0,0,0,0
2.14 sec,0,0,0,0,0,0,0
2.16 sec,0,0,0,0,0,0,0
2.18 sec,0,0,0,0,0,0,0
2.2 sec,0,0,0,0,0,0,0
2.22 sec,0,0,0,0,0,0,0
2.24 sec,0,0,0,0,0,0,0
2.26 sec,0,0,0,0,0,0,0
2.28 sec,0,0,0,0,0,0,0
2.3 sec,0,0,0,0,0,0,0
2.32 sec,0,0,0,0,0,0,0
2.34 sec,0,0,0,0,0,0,0
2.36 sec,0,0,0,0,0,0,0
2.38 sec,0,0,0,0,0,0,0
2.4 sec,0,0,0,0,0,0,0
2.42 sec,0,0,0,0,0,0,0
2.44 sec,0,0,0,0,0,0,0
2.46 sec,0,0,0,0,0,0,0
2.48 sec,0,0,0,0,0,0,0
2.5 sec,0,0,0,0,0,0,0
2.52 sec,0,0,0,0,0,0,0
2.54 sec,0,0,0,0,0,0,0
2.56 sec,0,0,0,0,0,0,0
2.58 sec,0,0,0,0,0,0,0
2.6 sec,0,0,0,0,0,0,0
2.62 sec,0,0,0,0,0,0,0
2.64 sec,0,0,0,0,0,0,0
2.66 sec,0,0,0,0,0,0,0
2.68 sec,0,0,0,0,0,0,0
2.7 sec,0,0,0,0,0,0,0
2.72 sec,0,0,0,0,0,0,0
2.74 sec,0,0,0,0,0,0,0
2.76 sec,0,0,0,0,0,0,0
2.78 sec,0,0,0,0,0,0,0
2.8 sec,0,0,0,0,0,0,0
2.82 sec,0,0,0,0,0,0,0
2.84 sec,0,0,0,0,0,0,0
2.86 sec,0,0,0,0,0,0,0
2.88 sec,0,0,0,0,0,0,0
2.9 sec,0,0,0,0,0,0,0
2.92 sec,0,0,0,0,0,0,0
2.94 sec,0,0,0,0,0,0,0
2.96 sec,0,0,0,0,0,0,0
2.98 sec,0,0,0,0,0,0,0
3 sec,0,0,0,0,0,0,0
3.02 sec,0,0,0,0,0,0,0
3.04 sec,0,0,0,0,0,0,0
3.06 sec,0,0,0,0,0,0,0
3.08 sec,0,0,0,0,0,0,0
3.1 sec,0,0,0,0,0,0,0
3.12 sec,0,0,0,0,0,0,0
3.14 sec,0,0,0,0,0,0,0
3.16 sec,0,0,0,0,0,0,0
3.18 sec,0,0,0,0,0,0,0
3.2 sec,0,0,0,0,0,0,0
3.22 sec,0,0,0,0,0,0,0
3.24 sec,0,0,0,0,0,0,0
3.26 sec,0,0,0,0,0,0,0
3.28 sec,0,0,0,0,0,0,0
3.3 sec,0,0,0,0,0,0,0
3.32 sec,0,0,0,0,0,0,0
3.34 sec,0,0,0,0,0,0,0
3.36 sec,0,0,0,0,0,0,0
3.38 sec,0,0,0,0,0,0,0
3.4 sec,0,0,0,0,0,0,0
3.42 sec,0,0,0,0,0,0,0
3.44 sec,0,0,0,0,0,0,0
3.46 sec,0,0,0,0,0,0,0
3.48 sec,0,0,0,0,0,0,0
3.5 sec,0,0,0,0,0,0,0
3.52 sec,0,0,0,0,0,0,0
3.54 sec,0,0,0,0,0,0,0
3.56 sec,0,0,0,0,0,0,0
3.58 sec,0,0,0,0,0,0,0
3.6 sec,1,0,0,0,0,0,0
3.62 sec,1,0,0,0,0,0,0
3.64 sec,1,0,0,0,0,0,0
3.66 sec,1,0,0,0,0,0,0
3.68 sec,1,0,0,0,0,0,0
3.7 sec,1,0,0,0,0,0,0
3.72 sec,1,0,0,0,0,0,0
3.74 sec,1,0,0,0,0,0,0
3.76 sec,1,0,0,0,0,0,0
3.78 sec,1,0,0,0,0,0,0
3.8 sec,1,0,0,0,0,0,0
3.82 sec,1,0,0,0,0,0,0
3.84 sec,1,0,0,0,0,0,0
3.86 sec,1,0,0,0,0,0,0
3.88 sec,1,0,0,0,0,0,0
3.9 sec,1,0,0,0,0,0,0
3.92 sec,0,0,0,0,0,0,0
3.94 sec,0,0,0,0,0,0,0
3.96 sec,0,0,0,0,0,0,0
3.98 sec,0,0,0,0,0,0,0
4 sec,0,0,0,0,0,0,0
4.02 sec,0,0,0,0,0,0,0
4.04 sec,0,0,0,0,0,0,0
4.06 sec,0,0,0,0,0,0,0
4.08 sec,0,0,0,0,0,0,0
4.1 sec,0,0,0,0,0,0,0
4.12 sec,0,0,0,0,0,0,0
4.14 sec,0,0,0,0,0,0,0
4.16 sec,0,0,0,0,1,0,0
4.18 sec,0,0,0,0,1,0,0
4.2 sec,0,0,0,0,1,0,0
4.22 sec,0,0,0,0,1,0,0
4.24 sec,0,0,0,0,1,0,0
4.26 sec,0,0,0,0,1,0,0
4.28 sec,0,0,0,0,1,0,0
4.3 sec,0,0,0,0,1,0,0
4.32 sec,0,0,0,0,1,0,0
4.34 sec,0,0,0,0,1,0,0
4.36 sec,0,0,0,0,1,0,0
4.38 sec,0,0,0,0,1,0,0
4.4 sec,0,0,0,0,1,0,0
4.42 sec,0,0,0,0,1,0,0
4.44 sec,0,0,0,0,1,0,0
4.46 sec,0,0,0,0,1,0,0
4.48 sec,0,0,0,0,1,0,0
4.5 sec,0,0,0,0,0,0,1
4.52 sec,0,0,0,0,0,0,1
4.54 sec,0,0,0,0,0,0,1
4.56 sec,0,0,0,0,0,0,1
4.58 sec,0,0,0,0,0,0,1
4.6 sec,0,0,0,0,0,0,1
4.62 sec,0,0,0,0,0,0,1
4.64 sec,0,0,0,0,0,0,1
4.66 sec,0,0,0,0,0,0,1
4.68 sec,0,0,0,0,0,0,1
4.7 sec,0,0,0,0,0,0,1
4.72 sec,0,0,0,0,0,0,1
4.74 sec,0,0,0,0,0,0,1
4.76 sec,0,0,0,0,0,0,1
4.78 sec,0,0,0,0,0,0,1
4.8 sec,0,0,0,0,0,0,1
4.82 sec,0,0,0,0,0,0,1
4.84 sec,0,0,0,0,0,0,1
4.86 sec,0,0,0,0,0,0,1
4.88 sec,0,0,0,0,0,0,1
4.9 sec,0,0,0,0,0,0,0
4.92 sec,0,0,0,0,0,0,0
4.94 sec,0,0,0,0,0,0,0
4.96 sec,0,0,0,0,0,0,0
4.98 sec,0,0,0,0,0,0,0
5 sec,0,0,0,0,0,0,0
5.02 sec,0,0,0,0,0,0,0
5.04 sec,0,0,0,0,0,0,0
5.06 sec,0,0,0,0,0,0,0
5.08 sec,0,0,0,0,0,0,0
5.1 sec,0,0,0,0,0,0,0
5.12 sec,0,0,0,0,0,0,0
5.14 sec,0,0,0,0,0,0,0
5.16 sec,0,0,0,0,0,0,0
5.18 sec,0,0,0,0,0,0,0
5.2 sec,0,0,0,0,0,0,0
5.22 sec,0,0,0,0,0,0,0
5.24 sec,0,0,0,0,0,0,0
5.26 sec,0,0,0,0,0,0,0
5.28 sec,0,0,0,0,0,0,0
5.3 sec,0,0,0,0,0,0,0
5.32 sec,0,0,0,0,0,0,0
5.34 sec,0,0,0,0,0,0,0
5.36 sec,0,0,0,0,0,0,0
5.38 sec,0,0,0,0,0,0,0
5.4 sec,0,0,0,0,0,0,0
5.42 sec,0,0,0,0,0,0,0
5.44 sec,0,0,0,0,0,0,0
5.46 sec,0,0,0,0,0,0,0
5.48 sec,0,0,0,0,0,0,0
5.5 sec,0,0,0,0,0,0,0
5.52 sec,0,0,0,0,0,0,0
5.54 sec,0,0,0,0,0,0,0
5.56 sec,0,0,0,0,0,0,0
5.58 sec,0,0,0,0,0,0,0
5.6 sec,0,0,0,0,0,0,0
5.62 sec,0,0,0,0,0,0,0
5.64 sec,0,0,0,0,0,0,0
5.66 sec,0,0,0,0,0,0,0
5.68 sec,0,0,0,0,0,0,0
5.7 sec,0,0,0,0,0,0,0
5.72 sec,0,0,0,0,0,0,0
5.74 sec,0,0,0,0,0,0,0
5.76 sec,0,0,0,0,0,0,0
5.78 sec,0,0,0,0,0,0,0
5.8 sec,0,0,0,0,0,0,0
5.82 sec,0,0,0,0,0,0,0
5.84 sec,0,0,0,0,0,0,0
5.86 sec,0,0,0,0,0,0,0
5.88 sec,0,0,0,0,0,0,0
5.9 sec,0,0,0,0,0,0,0
5.92 sec,0,0,0,0,0,0,0
5.94 sec,0,0,0,0,0,0,0
5.96 sec,0,0,0,0,0,0,0
5.98 sec,0,0,0,0,0,0,0
6 sec,0,0,0,0,0,0,0
6.02 sec,0,0,0,0,0,0,0
6.04 sec,0,0,0,0,0,0,0
6.06 sec,0,0,0,0,0,0,0
6.08 sec,0,0,0,0,0,0,0
6.1 sec,0,0,0,0,0,0,0
6.12 sec,0,0,0,0,0,0,0
6.14 sec,0,0,0,0,0,0,0
6.16 sec,0,0,0,0,0,0,0
6.18 sec,0,0,0,0,0,0,0
6.2 sec,0,0,0,0,0,0,0
6.22 sec,0,0,0,0,0,0,0
6.24 sec,0,0,0,0,0,0,0
6.26 sec,0,0,0,0,0,0,0
6.28 sec,0,0,0,0,0,0,0
6.3 sec,0,0,0,0,0,0,0
6.32 sec,0,0,0,0,0,0,0
6.34 sec,0,0,0,0,0,0,0
6.36 sec,0,0,0,0,0,0,0
6.38 sec,0,0,0,0,0,0,0
6.4 sec,0,0,0,0,0,0,0
6.42 sec,0,0,0,0,0,0,0
6.44 sec,0,0,0,0,0,0,0
6.46 sec,0,0,0,0,0,0,0
6.48 sec,0,0,0,0,0,0,0
6.5 sec,0,0,0,0,0,0,0
6.52 sec,0,0,0,0,0,0,0
6.54 sec,0,0,0,0,0,0,0
6.56 sec,0,0,0,0,0,0,0
6.58 sec,0,0,0,0,0,0,0
6.6 sec,0,0,0,0,0,0,0
6.62 sec,0,0,0,0,0,0,0
6.64 sec,0,0,0,0,0,0,0
6.66 sec,0,0,0,0,0,0,0
6.68 sec,0,0,0,0,0,0,0
6.7 sec,0,0,0,0,0,0,0
6.72 sec,0,0,0,0,0,0,0
6.74 sec,0,0,0,0,0,0,0
6.76 sec,0,0,0,0,0,0,0
6.78 sec,0,0,0,0,0,0,0
6.8 sec,0,0,0,0,0,0,0
6.82 sec,0,0,0,0,0,0,0
6.84 sec,0,0,0,0,0,0,0
6.86 sec,0,0,0,0,0,0,0
6.88 sec,0,0,0,0,0,0,0
6.9 sec,0,0,0,0,0,0,0
6.92 sec,0,0,0,0,0,0,0
6.94 sec,0,0,0,0,0,0,0
6.96 sec,0,0,0,0,0,0,0
6.98 sec,0,0,0,0,0,0,0
7 sec,0,0,0,0,0,0,0
7.02 sec,0,0,0,0,0,0,0
7.04 sec,0,0,0,0,0,0,0
7.06 sec,0,0,0,0,0,0,0
7.08 sec,0,0,0,0,0,0,0
7.1 sec,0,0,0,0,0,0,0
7.12 sec,0,0,0,0,0,0,0
7.14 sec,0,0,0,0,0,0,0
7.16 sec,0,0,0,0,0,0,0
7.18 sec,0,0,0,0,0,0,0
7.2 sec,0,0,0,0,0,0,0
7.22 sec,0,0,0,0,0,0,0
7.24 sec,0,0,0,0,0,0,0
7.26 sec,0,0,0,0,0,0,0
7.28 sec,0,0,0,0,0,0,0
7.3 sec,0,0,0,0,0,0,0
7.32 sec,0,0,0,0,0,0,0
7.34 sec,0,0,0,0,0,0,0
7.36 sec,0,0,0,0,0,0,0
7.38 sec,0,0,0,0,0,0,0
7.4 sec,0,0,0,0,0,0,0
7.42 sec,0,0,0,0,0,0,0
7.44 sec,0,0,0,0,0,0,0
7.46 sec,0,0,0,0,0,0,0
7.48 sec,0,0,0,0,0,0,0
7.5 sec,0,0,0,0,0,0,0
7.52 sec,0,0,0,0,0,0,0
7.54 sec,0,0,0,0,0,0,0
7.56 sec,0,0,0,0,0,0,0
7.58 sec,0,0,0,0,0,0,0
7.6 sec,0,0,0,0,0,0,0
7.62 sec,0,0,0,0,0,0,0
7.64 sec,0,0,0,0,0,0,0
7.66 sec,0,0,0,0,0,0,0
7.68 sec,0,0,0,0,0,0,0
7.7 sec,0,0,0,0,0,0,0
7.72 sec,0,0,0,0,0,0,0
7.74 sec,0,0,0,0,0,0,0
7.76 sec,0,0,0,0,0,0,0
7.78 sec,0,0,0,0,0,0,0
7.8 sec,0,0,0,0,0,0,0
7.82 sec,0,0,0,0,0,0,0
7.84 sec,0,0,0,0,0,0,0
7.86 sec,0,0,0,0,0,0,0
7.88 sec,0,0,0,0,0,0,0
7.9 sec,0,0,0,0,0,0,0
7.92 sec,0,0,0,0,0,0,0
7.94 sec,0,0,0,0,0,0,0
7.96 sec,0,0,0,0,0,0,0
7.98 sec,0,0,0,0,0,0,0
8 sec,0,0,0,0,0,0,0
8.02 sec,0,0,0,0,0,0,0
8.04 sec,0,0,0,0,0,0,0
8.06 sec,0,0,0,0,0,0,0
8.08 sec,0,0,0,0,0,0,0
8.1 sec,0,0,0,0,0,0,0
8.12 sec,0,0,0,0,0,0,0
8.14 sec,0,0,0,0,0,0,0
8.16 sec,0,0,0,0,0,0,0
8.18 sec,0,0,0,0,0,0,0
8.2 sec,0,0,0,0,0,0,0
8.22 sec,0,0,0,0,0,0,0
8.24 sec,0,0,0,0,0,0,0
8.26 sec,0,0,0,0,0,0,0
8.28 sec,0,0,0,0,0,0,0
8.3 sec,0,0,0,0,0,0,0
8.32 sec,0,0,0,0,0,0,1
8.34 sec,0,0,0,0,0,0,1
8.36 sec,0,0,0,0,0,0,1
8.38 sec,0,0,0,0,0,0,1
8.4 sec,0,0,0,0,0,0,1
8.42 sec,0,0,0,0,0,0,1
8.44 sec,0,0,0,0,0,0,1
8.46 sec,0,0,0,0,0,0,1
8.48 sec,0,0,0,0,0,0,1
8.5 sec,0,0,0,0,0,0,1
8.52 sec,0,0,0,0,0,0,1
8.54 sec,0,0,0,0,0,0,1
8.56 sec,0,0,0,0,0,0,1
8.58 sec,0,0,0,0,0,0,1
8.6 sec,0,0,0,0,0,0,1
8.62 sec,0,0,0,0,0,0,1
8.64 sec,0,0,0,0,0,0,1
8.66 sec,0,0,0,0,0,0,1
8.68 sec,0,0,0,0,0,0,1
8.7 sec,0,0,0,0,0,0,1
8.72 sec,0,0,0,0,0,0,1
8.74 sec,0,0,0,0,0,0,1
8.76 sec,0,0,0,0,0,0,1
8.78 sec,0,0,0,0,0,0,1
8.8 sec,0,0,0,0,0,0,1
8.82 sec,0,0,0,0,0,0,1
8.84 sec,0,0,0,0,0,0,1
8.86 sec,0,0,0,0,0,0,1
8.88 sec,0,0,0,0,0,0,1
8.9 sec,0,0,0,0,0,0,1
8.92 sec,0,0,0,0,0,0,1
8.94 sec,0,0,1,0,0,0,1
8.96 sec,0,0,1,0,0,0,1
8.98 sec,0,0,1,0,0,0,1
9 sec,0,0,1,0,0,0,1
9.02 sec,0,0,1,0,0,0,1
9.04 sec,0,0,1,0,0,0,1
9.06 sec,0,0,1,0,0,0,1
9.08 sec,0,0,1,0,0,0,1
9.1 sec,0,0,1,0,0,0,1
9.12 sec,0,0,1,0,0,0,1
9.14 sec,0,0,1,0,0,0,1
9.16 sec,0,0,1,0,0,0,1
9.18 sec,0,0,1,0,0,0,1
9.2 sec,0,0,1,0,0,0,1
9.22 sec,0,0,1,0,0,0,1
9.24 sec,0,0,1,0,0,0,1
9.26 sec,0,0,1,0,0,0,1
9.28 sec,0,0,1,0,0,0,1
9.3 sec,0,0,1,0,0,0,1
9.32 sec,0,0,1,0,0,0,1
9.34 sec,0,0,1,0,0,0,1
9.36 sec,0,0,1,0,0,0,1
9.38 sec,0,0,1,0,0,0,1
9.4 sec,0,0,1,0,0,0,1
9.42 sec,0,0,1,0,0,0,1
9.44 sec,0,0,1,0,0,0,1
9.46 sec,0,0,1,0,0,0,1
9.48 sec,0,0,1,0,0,0,1
9.5 sec,0,0,1,0,0,0,1
9.52 sec,0,0,1,0,0,0,1
9.54 sec,0,0,1,0,0,0,1
9.56 sec,0,0,1,0,0,0,1
9.58 sec,0,0,1,0,0,0,1
9.6 sec,0,0,1,0,0,0,1
9.62 sec,0,0,1,0,0,0,1
9.64 sec,0,0,1,0,0,0,1
9.66 sec,0,0,1,0,0,0,1
9.68 sec,0,0,1,0,0,0,1
9.7 sec,0,0,1,0,0,0,1
9.72 sec,0,0,1,0,0,0,1
9.74 sec,0,0,1,0,0,0,1
9.76 sec,0,0,1,0,0,0,1
9.78 sec,0,0,1,0,0,0,1
9.8 sec,0,0,1,0,0,0,1
9.82 sec,0,0,1,0,0,0,1
9.84 sec,0,0,1,0,0,0,1
9.86 sec,0,0,1,0,0,0,1
9.88 sec,0,0,1,0,0,0,1
9.9 sec,0,0,1,0,0,0,1
9.92 sec,0,0,1,0,0,0,1
9.94 sec,0,0,1,0,0,0,1
9.96 sec,0,0,1,0,0,0,1
9.98 sec,0,0,1,0,0,0,1
10 sec,0,0,1,0,0,0,1
10.02 sec,0,0,1,0,0,0,1
10.04 sec,0,0,1,0,0,0,1
10.06 sec,0,0,1,0,0,0,1
10.08 sec,0,0,1,0,0,0,1
10.1 sec,0,0,1,0,0,0,1
10.12 sec,0,0,1,0,0,0,1
10.14 sec,0,0,1,0,0,0,1
10.16 sec,0,0,1,0,0,0,1
10.18 sec,0,0,1,0,0,0,1
10.2 sec,0,0,1,0,0,0,1
10.22 sec,0,0,1,0,0,0,1
10.24 sec,0,0,1,0,0,0,1
10.26 sec,0,0,1,0,0,0,1
10.28 sec,0,0,1,0,0,0,1
10.3 sec,0,0,1,0,0,0,1
10.32 sec,0,0,1,0,0,0,1
10.34 sec,0,0,1,0,0,0,1
10.36 sec,0,0,1,0,0,0,1
10.38 sec,0,0,1,0,0,0,1
10.4 sec,0,0,1,0,0,0,1
10.42 sec,0,0,1,0,0,0,1
10.44 sec,0,0,1,0,0,0,1
10.46 sec,0,0,1,0,0,0,1
10.48 sec,0,0,1,0,0,0,1
10.5 sec,0,0,1,0,0,0,1
10.52 sec,0,0,1,0,0,0,1
10.54 sec,1,0,0,0,1,0,0
10.56 sec,1,0,0,0,1,0,0
10.58 sec,1,0,0,0,1,0,0
10.6 sec,1,0,0,0,1,0,0
10.62 sec,1,0,0,0,1,0,0
10.64 sec,1,0,0,0,1,0,0
10.66 sec,1,0,0,0,1,0,0
10.68 sec,1,0,0,0,1,0,0
10.7 sec,1,0,0,0,1,0,0
10.72 sec,1,0,0,0,1,0,0
10.74 sec,1,0,0,0,1,0,0
10.76 sec,1,0,0,0,1,0,0
10.78 sec,1,0,0,0,1,0,0
10.8 sec,1,0,0,0,1,0,0
10.82 sec,1,0,0,0,1,0,0
10.84 sec,1,0,0,0,1,0,0
10.86 sec,1,0,0,0,1,0,0
10.88 sec,1,0,0,0,0,0,0
10.9 sec,1,0,0,0,0,0,0
10.92 sec,1,0,0,0,0,0,0
10.94 sec,1,0,0,0,0,0,0
10.96 sec,1,0,0,0,0,0,0
10.98 sec,1,0,0,0,0,0,0
11 sec,1,0,0,0,0,0,0
11.02 sec,1,0,0,0,0,0,0
11.04 sec,1,0,0,0,0,0,0
11.06 sec,1,0,0,0,0,0,0
11.08 sec,1,0,0,0,0,0,0
11.1 sec,1,0,0,0,0,0,0
11.12 sec,0,0,0,0,0,0,0
11.14 sec,0,0,0,0,0,0,0
11.16 sec,0,0,0,0,0,0,0
11.18 sec,0,0,0,0,0,0,0
11.2 sec,0,0,0,0,0,0,0
11.22 sec,0,0,0,0,0,0,0
11.24 sec,0,0,0,0,0,0,0
11.26 sec,0,0,0,0,0,0,0
11.28 sec,0,0,0,0,0,0,0
11.3 sec,0,0,0,0,0,0,0
11.32 sec,0,0,0,0,0,0,0
11.34 sec,0,0,0,0,0,0,0
11.36 sec,0,0,0,0,0,0,0
11.38 sec,0,0,0,0,0,0,0
11.4 sec,0,0,0,0,0,0,0
11.42 sec,0,0,0,0,0,0,0
11.44 sec,0,0,0,0,0,0,0
11.46 sec,0,0,0,0,0,0,0
11.48 sec,0,0,0,0,0,0,0
11.5 sec,0,0,0,0,0,0,0
11.52 sec,0,0,0,0,0,0,0
11.54 sec,0,0,0,0,0,0,0
11.56 sec,0,0,0,0,0,0,0
11.58 sec,0,0,0,0,0,0,0
11.6 sec,0,0,0,0,0,0,0
11.62 sec,0,0,0,0,0,0,0
11.64 sec,0,0,0,0,0,0,0
11.66 sec,0,0,0,0,0,0,0
11.68 sec,0,0,0,0,0,0,0
11.7 sec,0,0,0,0,0,0,0
11.72 sec,0,0,0,0,0,0,0
11.74 sec,0,0,0,0,0,0,0
11.76 sec,0,0,0,0,0,0,0
11.78 sec,0,0,0,0,0,0,0
11.8 sec,0,0,0,0,0,0,0
11.82 sec,0,0,0,0,0,0,0
11.84 sec,0,0,0,0,0,0,0
11.86 sec,0,0,0,0,0,0,0
11.88 sec,0,0,0,0,0,0,0
11.9 sec,0,0,0,0,0,0,0
11.92 sec,0,0,0,0,0,0,0
11.94 sec,0,0,0,0,0,0,0
11.96 sec,0,0,0,0,0,0,0
11.98 sec,0,0,0,0,0,0,0
12 sec,0,0,0,0,0,0,0
12.02 sec,0,0,0,0,0,0,0
12.04 sec,0,0,0,0,0,0,0
12.06 sec,0,0,0,0,0,0,0
12.08 sec,0,0,0,0,0,0,0
12.1 sec,0,0,0,0,0,0,0
12.12 sec,0,0,0,0,0,0,0
12.14 sec,0,0,0,0,0,0,0
12.16 sec,0,0,0,0,0,0,0
12.18 sec,0,0,0,0,0,0,0
12.2 sec,0,0,0,0,0,0,0
12.22 sec,0,0,0,0,0,0,0
12.24 sec,0,0,0,0,0,0,0
12.26 sec,0,0,0,0,0,0,0
12.28 sec,0,0,0,0,0,0,0
12.3 sec,0,0,0,0,0,0,0
12.32 sec,0,0,0,0,0,0,0
12.34 sec,0,0,0,0,0,0,0
12.36 sec,0,0,0,0,0,0,0
12.38 sec,0,0,0,0,0,0,0
12.4 sec,0,0,0,0,0,0,0
12.42 sec,0,0,0,0,0,0,0
12.44 sec,0,0,0,0,0,0,0
12.46 sec,0,0,0,0,0,0,0
12.48 sec,0,0,0,0,0,0,0
12.5 sec,0,0,0,0,0,0,0
12.52 sec,0,0,0,0,0,0,0
12.54 sec,0,0,0,0,0,0,0
12.56 sec,0,0,0,0,0,0,0
12.58 sec,0,0,0,0,0,0,0
12.6 sec,0,0,0,0,0,0,0
12.62 sec,0,0,0,0,0,0,0
12.64 sec,0,0,0,0,0,0,0
12.66 sec,0,0,0,0,0,0,0
12.68 sec,0,0,0,0,0,0,0
12.7 sec,0,0,0,0,0,0,0
12.72 sec,0,0,0,0,0,0,0
12.74 sec,0,0,0,0,0,0,0
12.76 sec,0,0,0,0,0,0,0
12.78 sec,0,0,0,0,0,0,0
12.8 sec,0,0,0,0,0,0,0
12.82 sec,0,0,0,0,0,0,0
12.84 sec,0,0,0,0,0,0,0
12.86 sec,0,0,0,0,0,0,0
12.88 sec,0,0,0,0,0,0,0
12.9 sec,0,0,0,0,0,0,0
12.92 sec,0,0,0,0,0,0,0
12.94 sec,0,0,0,0,0,0,0
12.96 sec,0,0,0,0,0,0,0
12.98 sec,0,0,0,0,0,0,0
13 sec,0,0,0,0,0,0,0
13.02 sec,0,0,0,0,0,0,0
13.04 sec,0,0,0,0,0,0,0
13.06 sec,0,0,0,0,0,0,0
13.08 sec,0,0,0,0,0,0,0
13.1 sec,0,0,0,0,0,0,0
13.12 sec,0,0,0,0,0,0,0
13.14 sec,0,0,0,0,0,0,0
13.16 sec,0,0,0,0,0,0,0
13.18 sec,0,0,0,0,0,0,0
13.2 sec,0,0,0,0,0,0,0
13.22 sec,0,0,0,0,0,0,0
13.24 sec,0,0,0,0,0,0,0
13.26 sec,0,0,0,0,0,0,0
13.28 sec,0,0,0,0,0,0,0
13.3 sec,0,0,0,0,0,0,0
